MARDALE (LOW RAISE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY454137,Long,-2.844912,Lat,54.515643,Elevation,2465,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,9.8,23.8,2.8,13.65,6.9,15.75,13.55,15.43,4.3,13.25,13.77,12.4,12.9,2.38,2.63,11,17.48,16.77,8,15.73,13.45,15.31,,8.93,,8,4.9,8.7,10.2,6.2,20.75,13.04,8.9,15.73
February,,,,,,,,7.2,10.43,2.35,0.89,6.4,0.78,7.75,0.59,12.78,5.04,14.6,4.65,10.15,2.45,7.38,3.37,8.68,2.95,9.5,,,3.62,,13.55,,2.95,3.24,7.9,3.3,1.2,10.97,11.9,4.12,16.03
March,,,,,,,,8.7,11.03,1.4,4.2,1.55,6.12,5.82,6.81,2.63,6.25,4,7.65,5.63,9.28,3.57,9.57,4.1,1.19,8.12,,,7.83,,,,6.5,1.8,7.9,3.44,4,10.83,2.65,9.49,2.95
April,,,,,,,,4.56,3,2.21,4.14,3.66,9.47,3.72,7.46,6.21,2.89,7.54,0.5,4.58,2.65,3.05,7.14,7.72,5.45,4.43,,12.26,4.38,,,,7.75,6,1.5,3.6,2.3,2.35,3.96,10.03,11.42
May,,,,,,,,4.5,1.67,7.32,2.7,6.65,5.55,3.98,8.25,0.65,2.23,3.13,6.1,1.34,2.55,5.05,9.35,8.45,3.8,7.15,1.75,,2.25,4.46,,2.77,5.25,5.3,7,10.2,5.9,5.65,9.94,2.38,4.03
June,,,,,,,,7.6,13.36,3.53,4.08,10.45,5.7,2.97,4.24,8.65,5.9,2.77,9.75,7.3,1.33,0.29,1.33,8.76,8.4,5.6,5.92,4.51,5.74,1.69,4.25,3.98,6.54,6.45,11.2,6.6,6.2,2.65,7.46,6.56,6.41
July,,,,,,,,8.15,7.65,12.5,5.21,7.32,9.8,7.26,2.96,3.86,8.95,4.5,13.2,10.55,8.94,2.65,5.73,5.05,5.5,5.5,4.51,,3.65,4.3,8.45,5.1,4.95,14.4,7.54,3.9,8.8,5.85,7.28,9.46,9.41
August,,,,,,,,10.7,14,10.9,13.2,7.27,2.35,6.25,9.57,3.6,3.8,3.8,4.12,3.89,2.51,12.52,10.5,13.62,3.78,2.86,6.06,,10.05,4.96,16.33,9,11.8,9.55,11.26,4.1,12.2,10.93,8.45,1.79,5.75
September,,,,,,,,11,7.2,5.9,6.71,5.2,9.5,3.54,13.85,13.7,10.57,8.3,6.2,3.4,7.52,2.06,11.83,10.3,8.32,8.64,17.05,,,2.28,,,10.5,14.05,22.9,6.2,9.3,11.96,11.93,1.7,6.02
October,,,,,,,,15.15,24.6,12.4,17.52,7.65,20,8.4,18,16.45,6.56,3.9,21.18,5.5,12.78,9.8,9.8,15.62,8.24,12.1,0.93,,,19.36,,,13.5,6.6,26.6,7.9,10.65,12.16,11.42,11.15,7.92
November,,,,,,,,12.09,18.7,17.8,9.8,21.3,6.17,4.9,2.39,9.55,8.25,1.3,12.1,10.4,9.5,7.25,2.5,5.49,20.32,0.59,9.9,10.3,,16.58,7.53,,5.6,17.1,21,6.5,3.9,5.16,1.87,15.6,19.93
December,,,,,,,,2.25,6.65,14.3,9.63,9.9,14.3,0.67,17.79,5.4,18.5,4.05,7.22,3.54,7.5,5.08,13.08,6.3,7.05,7.1,7.46,2.27,,16.5,,,6.78,7.6,9.5,16.5,17,11.91,10.12,24.34,14.42
Total,,,,,,,,101.7,142.09,93.41,91.73,94.25,105.49,68.81,107.34,87.78,92.19,71.66,105.07,79.18,69.39,61.33,95.2,111.57,91.77,79.59,,,,,,,90.12,96.99,143,82.44,87.65,111.17,100.02,105.52,120.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 June transcription error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946 Feb, Mar, Apr estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Feb,Mar,May, July-Oct estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Jan-Apr estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1950 Mar-May, Sept, Oct Dec all estaimted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951 Jan-Apr, Sept-Dec estaimted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
