MARDALE (WHELTER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY469132,Long,-2.821654,Lat,54.51131,Elevation,819,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3669/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,11.33,16.17,16.16,3.02,2.78,9.51,16.68,13.15,7.69,15.34,13.02,18.58,7.16,6.81,8.95,7.5,4.8,8.5,9.2,7.3,20.05,12.2,7.98,15.28
February,,,,,,,10.97,5.65,11.77,3.11,10.73,2.98,8.24,3.29,9,6.72,2.4,7.34,10.14,13.29,9.77,1.4,3.02,7.2,2.9,1.4,9.55,11.15,2.95,15.62
March,,,,,,,3.91,7.79,8.48,10.77,4.84,6.06,3.3,1.04,6.85,6.78,9.5,9.97,2.14,6.43,6.12,6.4,1.8,7.5,2.62,4.2,8.26,2.73,8.64,2.44
April,,,,,,,5.63,0.73,3.88,3.51,3.03,6.98,5.56,4.1,4.93,2.4,12.83,5.66,6.66,6.82,7.3,6.45,6.45,1.2,3,2.1,2.13,3.54,9.17,10.5
May,,,,,,,3.38,6.18,1.38,1.57,4.7,7.53,7.08,3.04,7.49,1.91,4.23,3.55,4.58,3.09,2.41,3.8,4.25,6.7,9.4,4.9,4.99,8.04,2.32,3.45
June,,,,,,,3.22,12.03,7.04,1.24,0.14,1.44,7.65,5.78,6.89,8.98,6.16,11.14,1.7,4.2,2.29,4.8,4.75,8.1,5.4,5.55,1.94,6.46,6.65,6.21
July,,,,,,,3.88,12.82,12.35,7.71,1.84,4.42,5.55,4.42,4.75,6.73,5.05,5.35,3.91,5.63,4.5,3.2,11.3,6.13,3.8,7.15,5.66,6.3,7.72,8.34
August,,,,,,,3.63,5.06,3.97,3.06,12.84,8.55,11.65,7.14,2.96,9.38,0.1,10.28,4.39,13.27,8.92,8.6,7.15,7.72,3.7,12.15,9.44,5.69,1.35,5.44
September,,,,,,,8.12,4.67,3.38,6.34,2,8.82,6.21,8.53,7.98,17.49,9.17,11.09,1.6,16.4,16.7,9.3,11.5,17.2,5.1,7.2,9.98,8.97,1.51,4.56
October,,,,,,,5.48,21.84,4.77,12.92,9.1,9.89,11.45,10.05,11.4,1.4,2.37,6.86,12.34,9.36,1.27,12.1,5.5,25.3,7.1,8.85,13.68,9.15,10.93,7.23
November,,,,,,,2.06,16.08,16.22,13.36,6.57,2.3,6.78,17,0.45,19,16.2,6.78,16.14,9.93,20.6,5.45,14.7,22,5,3.1,4.13,1.58,15.27,24
December,,,,,,,5.69,7.22,4.82,9.47,5.82,13.3,6.68,6.4,6.6,12.43,4.6,14.31,16.43,4,17.05,7.91,6.5,14,14.6,13.5,11.35,9.45,21.4,12.77
Total,,,,,,,67.3,116.24,94.22,76.08,64.39,81.78,96.83,83.94,76.99,108.56,85.63,110.91,87.19,99.23,105.88,76.91,81.72,131.55,71.82,77.4,101.16,85.26,95.89,115.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Feb 2.4, Mar 9.6, Apr 12.83, tot estimated thus removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12983,WHELTER ,01/01/1937,31/12/1973,,,,,,,,,,,,,,,,,,,,,,,,,,,
