"MARTLESHAM (BEACON HILL)",,,,,,,,,,,,
Grid ref,TM246473,Long,1.276302,Lat,52.078474,,,,,,,
Station no,1353/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.68,2.34,0.86,1.58,2.56,3.94,1.36,2.67,1.91,3.06,,
February,3.79,0.76,1.29,2.19,2.11,1.22,2.82,2.80,0.17,1.33,,
March,3.04,3.21,0.39,2.39,1.70,0.81,1.32,1.57,1.36,1.57,,
April,3.29,0.62,1.59,0.31,0.21,0.83,0.28,1.05,1.46,0.59,,
May,2.19,0.98,1.50,1.19,2.62,0.86,2.28,2.98,0.24,0.60,,
June,1.10,1.33,2.65,2.05,2.74,2.01,2.26,5.23,0.92,3.78,,
July,2.50,0.72,2.89,2.81,0.19,2.64,3.16,2.38,2.28,3.34,,
August,2.93,2.61,1.46,3.72,2.79,4.58,2.51,3.58,1.26,3.04,,
September,2.93,2.59,1.46,1.35,1.52,1.81,2.78,3.04,0.00,4.77,,
October,0.49,1.71,1.81,1.70,4.00,1.58,1.75,2.51,1.76,5.68,,
November,4.13,4.54,1.10,3.81,0.66,0.97,1.99,1.21,2.48,3.18,,
December,1.75,2.77,0.77,2.26,1.61,2.01,2.24,3.51,3.44,3.54,,
Total,-999.00,24.18,17.77,25.36,22.71,23.26,24.75,32.53,17.28,34.48,,
Calc annual,29.82,24.18,17.77,25.36,22.71,23.26,24.75,32.53,17.28,34.48,,
Difference,-1028.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
