MERSEY ISLAND WALDEGRAVES,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6677,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.44,1.05,1.75,1.91,1.27,2.81,0.83,1.30,2.86,,,
February,2.39,0.90,1.07,0.63,1.31,2.41,2.53,0.62,0.52,,,
March,1.13,2.03,2.31,1.57,4.29,0.87,3.45,2.06,0.76,,,
April,1.28,0.85,0.14,2.36,,0.86,1.06,1.62,2.12,,,
May,2.60,0.64,1.03,0.93,2.01,2.10,1.74,1.11,2.31,,,
June,1.65,1.99,1.72,0.30,1.11,1.46,2.33,1.12,1.12,,,
July,2.28,,2.15,1.58,1.62,3.46,0.70,2.32,4.79,,,
August,1.66,1.33,4.33,0.30,,2.77,2.84,4.63,0.95,,,
September,0.85,1.33,2.41,1.35,1.51,1.41,1.14,0.75,3.45,,,
October,1.02,2.56,1.99,3.51,1.51,,1.84,3.19,1.60,,,
November,3.01,3.13,2.21,2.72,1.95,1.87,3.01,1.30,1.90,,,
December,2.62,3.57,2.51,0.62,5.10,4.31,2.01,1.40,1.43,,,
Total,21.93,19.38,23.62,17.78,21.68,24.33,23.48,21.42,23.81,,,
Calc annual,21.93,19.38,23.62,17.78,21.68,24.33,23.48,21.42,23.81,0.00,,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,,
