MICHAELCHURCH ESCLEY,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2225/6,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,6.96,4.85,,,,,,,,,,
February,5.90,0.73,,,,,,,,,,
March,3.94,4.73,,,,,,,,,,
April,1.70,3.45,,,,,,,,,,
May,3.43,5.67,,,,,,,,,,
June,2.71,0.10,,,,,,,,,,
July,4.18,1.75,,,,,,,,,,
August,4.99,2.96,,,,,,,,,,
September,1.66,1.58,,,,,,,,,,
October,2.41,,,,,,,,,,,
November,5.11,,,,,,,,,,,
December,3.25,,,,,,,,,,,
Total,46.24,,,,,,,,,,,
Calc annual,46.24,25.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
