"MICKLEHAM JUNIPER HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,125/2,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.66,2.63,4.39,1.86,2.66,,,,,,,
February,0.79,0.40,3.13,3.77,1.19,,,,,,,
March,2.30,1.77,2.29,2.77,0.95,,,,,,,
April,3.76,1.34,3.47,2.55,2.70,,,,,,,
May,0.86,2.15,1.09,3.13,4.04,,,,,,,
June,1.76,0.18,1.37,0.37,3.88,,,,,,,
July,5.54,0.14,4.51,2.66,3.32,,,,,,,
August,1.62,1.63,2.24,2.56,2.69,,,,,,,
September,3.23,1.33,2.10,1.53,3.70,,,,,,,
October,1.85,0.62,1.94,6.68,3.53,,,,,,,
November,2.26,1.70,1.52,1.64,3.93,,,,,,,
December,3.03,1.96,4.98,3.32,4.98,,,,,,,
Total,30.66,15.85,33.03,32.84,37.57,,,,,,,
Calc annual,30.66,15.85,33.03,32.84,37.57,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,-0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,
