MINCHINHAMPTON-THE-SHARD (OLD GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO8708000380,Long,-2.1883547,Lat,51.702011,Elevation,495,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.44,5.86,1.1,4.65,2.16,3.73,2.45,2.82,0.59,3.97,4,3.58,5.58,2.34,2.65,,,,,,,,,
February,,,,,,,,3.51,2.99,0.85,0.55,2.36,0.41,3.5,0.28,3.1,2.81,4.37,0.91,1.5,2.74,,,,,,,,,,
March,,,,,,,,3.76,3.68,0.2,2.42,0.35,2.37,3.07,2.38,0.71,2.26,3.66,0.23,1.6,2.27,,,,,,,,,,
April,,,,,,,,1.24,1.48,1.1,2.53,2.79,3.31,1.48,1.86,5.56,2.41,5.12,0.09,3.76,2.06,,,,,,,,,,
May,,,,,,,,1.01,1.27,2.39,1.25,4.07,6.71,2.3,1.11,1.34,0.9,1.7,2.55,1.12,2.07,,,,,,,,,,
June,,,,,,,,3.55,2.85,1.41,0.94,3.74,1.33,1.42,1.33,3.48,1.58,1.31,1.59,1.74,0.56,,,,,,,,,,
July,,,,,,,,3.41,2.67,2.16,3.22,5.37,2.7,2.08,2.12,0.61,5.77,2.89,2.76,4.62,5.23,,,,,,,,,,
August,,,,,,,,4.7,2.61,2.71,3.17,7.47,1.24,1.04,2.09,1.99,0.39,0.43,2.92,3.38,0.12,,,,,,,,,,
September,,,,,,,,5.11,0.94,0.25,4.41,2.8,3.96,3.22,2.28,5.55,2.67,2.86,3.22,0.87,0.74,,,,,,,,,,
October,,,,,,,1.9,2.32,5.79,4.6,2.57,0.75,5.55,2.9,2.24,4.64,1.41,3.06,3.42,3.23,3.19,,,,,,,,,,
November,,,,,,,6.43,2.69,3.88,8.74,3.77,4.56,2.18,0.66,1.56,6.13,3.8,1.7,3.55,5.12,6.61,,,,,,,,,,
December,,,,,,,0.45,3.45,3.18,7.14,4.19,1.62,1.32,0.51,6.98,4.4,3.15,2.4,3.94,2.01,1.19,,,,,,,,,,
Total,,,,,,,,38.19,37.2,32.65,33.67,38.04,34.81,24.63,27.05,38.1,31.12,33.5,28.76,34.53,29.12,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Feb-Dec values removed as duplicates of new gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
