MINEHEAD-BLENHEIM-GDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS971464,Long,-3.4744,Lat,51.207508,Elevation,37,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,4.48,0.96,5.45,2.96,4.86,2.57,3.41,1.23,3.88,6.26,4.11,5.51,3.48,3.95,3.81,7.01,2.14,3.64,3.3,3.68,6.51,1.28,0.95,3.64,3.97,0.68,1.98,3.58,3.59,2.4,2.83,4.39,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.98,0.93,0.85,2.01,0,3.62,0.17,2.98,2.33,4.78,0.94,1.77,2.26,3.18,0.3,2.38,0.55,2.63,3.13,1.45,1.63,1.57,5.93,4.42,1.2,1.57,3.46,2.67,0.13,5.36,4.24,0.2,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.98,0.29,2.71,1.38,2.25,2.87,2.6,1.05,2.47,4.13,0.06,1.59,2.05,3.57,2.17,1.23,0.08,1.04,0.86,5.52,1.34,1.35,1.48,3.04,1.92,0.92,3.96,0.91,1.18,2.25,0.79,2.61,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.41,0.51,3.14,2.76,2.52,0.81,2.48,4.5,2.04,2.8,0.19,3.35,3.72,1.42,1.92,0.61,1.64,0.76,2.95,3.13,2.2,2.16,2.02,3.63,3.12,2.84,0.33,1.01,1.41,0.1,0.68,3.5,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.08,2.51,1.26,4.15,2.95,2.26,1.32,1.39,0.92,2.17,2.2,1.01,1.27,1.6,4.6,3.13,1.36,3.63,4.79,2.43,3.2,1.95,2.34,2.75,3.7,2.07,1.67,4.64,0.56,1.38,2.87,0.85,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.11,2.53,0.61,2.89,0.57,1.8,1.68,2.21,2.86,0.74,1.63,1.86,0.68,1.69,0.66,1.34,2.13,2.19,1.82,1.7,1.65,0.41,0.57,0.68,1.65,2.12,3.02,3.28,1.15,1.47,3.44,1.7,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.27,1.41,1.7,2.65,3.05,1.79,0.57,0.38,6.57,2.22,3.07,4.13,4.75,1.36,1.86,2.1,1.33,3.04,2.32,1.33,1.79,2.41,2.76,1.17,1.93,2.82,2.5,0.96,3.07,2.56,2.03,2.43,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,3.58,1.69,1.72,2.88,4.34,0.82,1.26,4.32,3.34,0.31,1.04,5.45,1.92,0.06,3.63,4.23,1.96,5.31,1.65,5.67,0.76,2.98,2.21,5.27,2.82,4.87,3.16,3.06,0.57,3.37,2.28,2.75,4.62,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,6.41,1.15,0.46,4.45,1.12,3.64,1.53,2.31,5.92,3.03,4.22,0.92,0.66,1.74,0.63,2.36,4.98,2.74,2.86,3.67,1.48,1.76,2.97,4.98,2.23,3.48,4.76,3.74,1.6,4.77,4.08,4.87,0.14,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.99,4.64,6.38,3.46,1.19,6.95,5.53,3.71,4.54,2.5,4.3,4.02,2.48,5.09,2.02,2.38,3.21,4.3,4.28,1.03,0.62,3.53,7.07,1.68,1.33,4.41,2.56,3.15,1.74,2.14,2.57,2.76,4.32,10.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
