"MORPETH COCKLE PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3587,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.57,4.47,3.31,1.38,2.53,1.41,2.90,1.58,3.48,2.07,3.14,
February,1.25,0.25,2.45,3.97,1.26,3.18,3.28,0.82,0.96,1.06,1.41,
March,2.74,0.82,2.12,1.45,0.95,1.56,0.66,2.08,2.65,0.30,2.26,
April,3.17,0.79,1.71,1.84,1.64,3.45,1.35,2.15,1.07,1.53,1.84,
May,3.61,1.90,0.48,2.00,6.12,3.53,2.22,1.43,1.33,1.45,1.58,
June,0.60,0.33,1.28,0.73,2.26,0.14,3.12,4.50,4.40,1.53,0.80,
July,3.74,1.96,4.26,1.78,5.86,2.36,5.28,2.65,1.36,3.00,3.93,
August,1.95,6.38,2.01,4.00,2.67,2.88,2.04,4.64,2.94,3.04,5.80,
September,1.74,1.55,4.19,1.96,2.78,3.46,3.02,3.63,0.95,0.94,3.30,
October,1.77,2.95,1.65,2.36,3.38,2.08,3.59,2.22,2.97,2.36,2.19,
November,1.13,2.66,0.97,3.60,1.19,2.06,4.36,3.01,2.64,4.07,3.55,
December,4.49,1.38,3.34,2.47,2.38,5.34,0.67,3.33,1.99,3.63,2.69,
Total,28.76,25.44,27.77,27.54,33.02,31.45,32.49,32.04,26.74,24.98,32.49,
Calc annual,28.76,25.44,27.77,27.54,33.02,31.45,32.49,32.04,26.74,24.98,32.49,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
