"MUIR OF ORD",,,,,,,,,,,,
Grid ref,NH527500,Long,-4.460819,Lat,57.516137,,,,,,,
Station no,5768/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,-999.00,1.93,2.54,4.92,2.76,3.30,3.27,,
February,,,,,2.94,2.41,2.39,2.30,0.85,1.75,,
March,,,,,1.29,1.59,2.76,1.76,1.82,0.37,,
April,,,,,0.77,1.99,0.70,1.25,4.34,2.23,,
May,,,,,1.91,1.71,1.36,1.62,1.36,0.46,,
June,,,,,0.74,2.34,2.97,1.75,1.33,2.44,,
July,,,,,0.15,6.71,5.21,2.00,2.32,2.97,,
August,,,,,0.41,5.07,3.72,2.38,1.28,7.31,,
September,,,,,2.23,4.08,2.50,3.01,0.72,2.05,,
October,,,,-999.00,2.71,3.77,2.44,3.47,3.44,1.77,,
November,,,,2.67,0.80,2.70,1.20,1.00,3.46,1.74,,
December,,,,7.02,6.10,4.39,1.55,3.05,2.75,3.28,,
Total,,,,-999.00,21.98,39.30,31.72,26.35,26.97,29.64,,
Calc annual,0.00,0.00,0.00,9.69,21.98,39.30,31.72,26.35,26.97,29.64,,
Difference,NaN,NaN,NaN,-1008.69,-0.00,-0.00,0.00,0.00,0.00,0.00,,
