MULL CALGARY,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 37799 51517,Long,-6.271516,Lat,56.582075,Elevation,120,ft,,,,,,,,,,,,
Station no,RR8280,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,5.8,4.4,,,8.01,7.25,8.98,3.05,8.44,1.55,2,,,,,,,
February,,,,0.8,,,5.65,9.66,3.4,3.25,6.25,7,4.8,,,,,,,
March,,,,4.8,,,7.73,4.38,5.6,5.27,4,6.55,4.1,,,,,,,
April,,,2.8,0.8,,,4.78,-999,3.35,2.05,4.9,1.35,5.3,,,,,,,
May,,,,1.6,,,0.4,-999,2.8,4.55,2.6,4.3,3.6,,,,,,,
June,,,,6.4,,,6.32,3.65,5.68,3.8,4.5,8.7,4.3,,,,,,,
July,,,3.2,8,,,5.48,9.9,2.3,8.85,2.82,8.15,3.26,,,,,,,
August,,,6.3,10.4,,,7.88,6.27,3.85,5.6,1.5,4.5,4,,,,,,,
September,,,9.5,9,,,4.6,5.55,12.3,18.6,4.1,4,5.1,,,,,,,
October,,,7.5,12,,,8.76,9.02,11.1,6.55,1.1,4.4,6.3,,,,,,,
November,,,11,6.6,,,3.98,20.67,7.26,4.8,8.2,12.4,9.8,,,,,,,
December,,,6.8,12.2,,,5.63,13.57,1,5.3,8.2,12.6,4.8,,,,,,,
Total,,,,77,,,69.22,95.82,67.62,71.67,56.61,75.5,57.36,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BR 1872 P Feb Mar Nay Jun Bracketed Deleted,,,,,,,,,,,,,,,,,,,,
BR 1877 P Apr May Bracketed,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8280,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
