"GUNNERTON BURN, CAMPHILL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3576,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.35,0.39,1.42,3.50,4.44,1.40,4.43,1.06,1.06,0.97,,
February,1.03,3.63,1.87,0.98,1.39,0.93,1.97,0.77,1.26,1.47,,
March,2.26,4.10,1.15,1.15,1.59,1.51,3.51,1.75,5.66,2.50,,
April,2.26,1.56,2.10,1.09,1.62,1.94,1.58,1.02,2.03,3.70,,
May,1.14,2.67,0.47,1.70,2.19,2.68,2.87,1.70,0.63,1.67,,
June,1.38,1.39,2.89,2.17,0.31,0.80,2.27,0.28,2.36,0.44,,
July,4.23,4.16,4.60,4.77,4.11,1.25,3.67,2.21,4.31,3.32,,
August,2.21,5.86,3.52,2.53,1.19,3.03,2.30,2.04,2.25,3.60,,
September,4.77,3.73,1.57,4.33,1.83,1.94,3.10,4.86,1.13,1.07,,
October,2.78,4.18,3.44,2.97,1.49,2.70,5.10,1.54,1.39,4.80,,
November,3.02,1.60,4.16,1.37,1.64,2.45,3.65,3.12,5.50,0.80,,
December,3.25,3.95,4.28,2.42,2.99,1.48,3.43,2.50,0.97,1.12,,
Total,28.68,37.22,31.47,28.98,24.79,22.11,37.88,22.85,28.55,25.46,,
Calc annual,28.68,37.22,31.47,28.98,24.79,22.11,37.88,22.85,28.55,25.46,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
