NEWENT (CLIFFORD MANOR),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7019,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.28,3.22,4.32,1.53,4.14,2.52,4.56,3.84,5.23,1.23,5.77,
February,0.92,0.32,3.60,6.41,0.31,3.86,2.17,3.51,2.54,1.26,0.99,
March,3.47,1.77,2.93,2.05,1.49,0.45,0.26,3.05,4.36,0.14,2.68,
April,5.14,0.82,3.04,2.64,2.98,1.78,3.00,1.27,1.37,0.92,2.58,
May,2.07,2.11,0.45,1.61,5.36,3.84,2.58,0.93,0.83,2.36,1.69,
June,2.62,0.41,0.61,0.38,2.76,0.00,1.59,3.18,2.25,1.19,0.48,
July,3.57,0.29,4.75,2.25,4.54,2.53,2.58,4.07,1.66,2.14,3.71,
August,0.80,2.62,3.58,2.11,3.50,2.62,1.81,4.84,2.11,1.69,3.51,
September,1.93,1.65,1.91,2.53,5.68,4.68,0.74,4.71,1.22,0.53,3.92,
October,2.62,1.28,0.82,5.58,5.03,3.15,2.88,2.54,6.80,4.65,2.84,
November,0.73,2.34,1.79,1.76,2.89,1.86,7.45,3.15,3.55,11.00,3.99,
December,3.48,1.63,5.16,2.82,4.77,3.27,0.52,3.79,2.42,7.42,3.66,
Total,31.63,18.46,32.96,31.67,43.45,30.56,30.14,38.88,34.34,34.53,35.82,
Calc annual,31.63,18.46,32.96,31.67,43.45,30.56,30.14,38.88,34.34,34.53,35.82,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
