"NORDEN HIGHER RED LUMB",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2895,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.71,7.29,4.38,4.60,3.90,3.53,5.32,4.55,13.21,2.15,5.84,
February,4.52,0.61,5.54,5.99,1.30,6.96,4.68,2.30,5.64,1.30,0.38,
March,3.80,3.54,3.72,2.25,1.81,1.77,2.23,4.84,3.13,1.70,2.50,
April,6.05,1.77,2.90,4.15,2.06,2.54,2.00,2.73,1.28,1.28,2.49,
May,4.69,3.33,1.95,4.46,5.79,5.34,4.53,1.93,1.33,3.42,1.98,
June,3.96,0.42,3.20,1.15,3.19,0.11,3.34,5.33,7.94,1.61,2.02,
July,9.48,1.94,5.84,4.33,5.67,2.29,2.71,3.92,2.64,3.94,6.75,
August,3.12,7.08,5.30,6.64,8.27,4.50,4.95,7.81,7.29,6.64,8.66,
September,2.95,1.86,5.06,5.68,5.33,4.05,3.85,6.86,0.82,2.18,4.64,
October,1.69,3.67,1.07,6.91,6.22,5.70,4.05,5.21,6.28,6.80,6.74,
November,2.41,3.42,3.98,7.82,3.13,2.23,6.71,5.18,6.56,8.64,6.69,
December,4.18,7.28,4.65,5.23,5.45,3.18,2.11,1.19,3.33,8.01,4.18,
Total,51.56,42.21,47.59,59.21,52.12,42.20,46.48,51.85,59.45,47.67,52.87,
Calc annual,51.56,42.21,47.59,59.21,52.12,42.20,46.48,51.85,59.45,47.67,52.87,
Difference,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
