NORTH SHIELDS CHIRTON COTTAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ346682,Long,-1.460559,Lat,55.007167,Elevation,110,ft,,,,,,,,,,,,
Station no,RR7485,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,3.98,1.52,1.89,1.09,2.49,2.2,,,,,,,,,
February,,,,,,1.21,0.32,1.34,0.5,0.69,4.69,,,,,,,,,
March,,,,,,2.58,1.76,3.07,1.58,1.78,1.67,,,,,,,,,
April,,,,,,1.42,0.65,1.8,2.45,3.02,1.36,,,,,,,,,
May,,,,,,0.66,1.4,0.99,2.09,3.31,1.17,,,,,,,,,
June,,,,,,1.46,2.47,2.04,2.38,2.12,3.45,,,,,,,,,
July,,,,,,4.58,2.68,1.66,1.06,2.35,2.37,,,,,,,,,
August,,,,,,3.42,0.97,2.18,2.36,1.22,6.49,,,,,,,,,
September,,,,,,0.79,3.38,2.86,0.27,2.21,0.84,,,,,,,,,
October,,,,,,3.99,5.09,1.29,3.65,1.85,6.44,,,,,,,,,
November,,,,,,1.5,1.41,1.48,3.59,1.45,2.72,,,,,,,,,
December,,,,,,1.47,5.24,1.78,1.09,3.54,1.92,,,,,,,,,
Total,,,,,,27.06,26.89,22.38,22.11,26.03,35.32,,,,,,,,,
