"NORTHALLERTON, THORNTON LE MOOR",,,,,,,,,,,,
Grid ref,SE388881,Long,-1.405489,Lat,54.287064,,,,,,,
Station no,RR3012,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.74,1.23,0.62,2.85,2.46,0.49,3.02,0.57,1.37,0.66,,
February,4.68,2.20,1.19,1.23,1.91,0.77,1.52,1.43,1.78,0.85,,
March,0.91,2.12,0.75,2.68,1.53,1.81,1.54,1.02,2.41,3.64,,
April,1.12,1.83,1.80,1.29,1.35,2.67,0.91,2.30,2.70,2.42,,
May,1.42,0.68,2.65,3.42,4.77,1.48,3.35,3.51,1.75,1.74,,
June,3.55,1.43,2.02,1.97,1.41,1.17,1.62,4.01,0.59,2.15,,
July,1.18,2.39,2.39,3.62,1.39,1.19,1.65,1.84,3.73,2.78,,
August,5.73,2.17,2.27,2.57,2.93,2.42,2.46,2.27,1.79,3.82,,
September,0.73,1.52,0.87,2.89,1.97,2.19,0.40,0.56,2.73,2.24,,
October,4.51,1.87,2.18,7.16,0.76,1.69,4.87,4.05,1.67,2.50,,
November,3.08,4.04,1.57,1.37,2.37,4.02,2.58,2.50,1.33,0.97,,
December,1.92,3.66,1.63,1.13,2.07,0.45,2.33,2.88,1.41,4.06,,
Total,31.57,25.14,19.94,32.18,24.92,20.35,26.25,26.94,23.26,27.83,,
Calc annual,31.57,25.14,19.94,32.18,24.92,20.35,26.25,26.94,23.26,27.83,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
