NORTHAMPTON ST GEORGE'S PLACE,,,,,,,,,,,,
Grid ref,SP753617,Long,-0.898462,Lat,52.248337,,,,,,,
Station no,RR8254,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.07,0.83,0.76,,,,,,,,,
February,4.19,1.07,1.46,,,,,,,,,
March,0.52,2.14,1.07,,,,,,,,,
April,0.70,2.45,1.33,,,,,,,,,
May,1.29,1.69,1.63,,,,,,,,,
June,2.87,1.58,2.40,,,,,,,,,
July,2.15,2.51,1.51,,,,,,,,,
August,2.78,1.55,2.41,,,,,,,,,
September,0.57,1.29,1.36,,,,,,,,,
October,1.65,1.24,1.84,,,,,,,,,
November,1.67,0.65,1.55,,,,,,,,,
December,2.89,3.11,1.09,,,,,,,,,
Total,24.35,20.11,18.41,,,,,,,,,
Calc annual,24.35,20.11,18.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
