"NORTHWICH (HUNTS LOCK)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2776,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,2.77,2.87,1.45,1.89,1.88,3.89,3.10,3.83,4.75,2.41,,
February,2.79,0.12,2.64,0.25,2.50,2.01,5.14,0.91,2.21,2.16,,
March,0.50,1.57,2.21,1.84,1.06,1.28,1.35,0.81,1.63,2.47,,
April,2.71,2.96,0.92,1.42,2.32,1.53,3.30,0.31,1.76,2.49,,
May,2.79,4.77,1.25,1.27,1.15,1.19,2.35,2.73,1.35,1.11,,
June,5.19,0.61,2.24,2.01,4.14,2.67,1.19,2.54,2.99,1.33,,
July,2.71,2.82,1.61,1.49,0.81,3.42,1.99,3.28,6.10,4.96,,
August,7.17,1.21,0.87,2.67,1.46,1.61,3.28,3.49,1.54,0.80,,
September,3.97,2.61,0.86,1.99,4.94,5.01,1.37,1.16,0.78,3.04,,
October,1.27,5.82,3.68,3.02,4.26,2.19,2.07,4.11,2.31,3.73,,
November,3.81,2.49,1.11,1.91,4.30,3.02,2.11,3.83,4.29,6.26,,
December,1.52,0.98,0.42,4.62,3.53,3.46,2.49,3.56,1.76,2.75,,
Total,37.20,28.83,19.26,24.38,32.35,31.28,29.74,30.56,31.47,33.51,,
Calc annual,37.20,28.83,19.26,24.38,32.35,31.28,29.74,30.56,31.47,33.51,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
