NORWICH-IPSWICH-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG224071,Long,1.2838223,Lat,52.6161,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.67,3.36,1.08,1.88,0.97,1.96,3.01,0.74,1.25,1.6,1.47,1.01,3.83,1.35,1.04,0.97,2.76,2.19,2.62,2.88,2.15,3.26,1.7,2.15,2.66,2.75,2.08,1.9,5.2,1.65,2.27,0.99,2.66,2.14,3.71,1.88,1.83,2.31,0.91,0.93,1.48,3.11,2.77,3.59,2.2,5.17,1.71,2.29,2.88,3.58,2.17,2.56,1.63,1.92,3.86,,
February,,,,,1.17,0.6,0.59,2.26,1.34,1.48,2.93,1.49,0.72,0.4,2.74,1.61,2.64,1.58,2.13,0.67,2.2,1.8,1.4,0.82,1.76,3.39,4.36,1.08,1.12,3.21,0.63,0.3,2.53,3.39,1.78,1.94,1.91,2.08,1.38,0.89,0.94,2.34,0.81,2.15,0.92,2.25,2.52,2.8,1.04,0.93,1.31,2.47,1.25,0.91,1.65,1.76,3.73,2.62,,,
March,,,,,1.04,1.92,3.7,2.21,2.28,1.46,1.04,2.01,1.06,1.75,1.84,1.96,1.93,1.38,2.39,2.98,0.85,2.65,2.38,2.26,3.59,1.95,3.48,3.03,0.79,2.07,1.11,1.08,2,1.48,0.61,1.69,0.37,2.03,1.55,0.12,1.33,0.64,1.93,1.93,1.24,0.57,0.4,2.66,0.32,1.98,2.68,2.7,1.75,0.82,0.81,1.69,0.9,4.57,,,
April,,,,,2.02,1.13,1.46,1.64,1.06,2.75,2.93,2.42,1.35,2.53,0.84,2.26,0.69,3.52,2.63,1.4,2.32,1.48,0.4,2.14,0.77,0.75,1.87,2.23,3.4,1.61,3.18,1.49,2.42,1.01,2.09,2.49,2.6,1.45,1.51,1.19,1.94,3.33,3.11,1.23,2.22,2.49,1.22,2.12,0.54,3.32,1.29,0.82,0.58,0.98,2.04,2.31,0.56,2.03,,,
May,,,,,2.83,1.01,0.72,0.81,3.09,1.57,1.86,1.18,4.07,1.78,1.93,1.21,2.5,2.48,1.75,1.31,3.84,1.53,0.84,1.14,0.97,2.62,2.41,0.68,0.75,0.69,1.44,1.38,0.5,1.19,3.81,2.06,1.58,0.69,1.82,1,2.86,3.29,3.55,1.71,2.23,1.37,0.69,2.97,1.87,0.78,0.63,1.6,1.96,1.49,1.13,2.2,1.16,0.44,,,
June,,,,,2.53,0.82,2.72,2.09,2.85,0.82,2.9,1.46,2.13,2.6,0.65,3.28,2.46,2.61,1.01,3.12,1.59,2.98,2.26,0.69,1.6,0.94,2.95,1.63,1.1,1.1,2.06,0.41,1.64,0.81,1.47,0.61,2.61,4.59,2.08,0.7,0.76,1.63,0.55,2.13,2.35,2.66,3.84,1,0.79,1.83,0.29,0.42,0.95,1.6,2.08,1.7,2.95,1.64,,,
July,,,,,3.57,3.77,0.86,0.48,1.69,2.22,1.89,1.18,2.44,5.86,2.82,0.76,0.71,1.54,3.54,2.86,4.03,0.91,4,2.62,2.89,3.53,0.87,2.76,3.19,2.57,2.86,0.46,6.85,3.16,2.03,1.4,1.7,2.35,1.87,3.61,3.75,3.29,3.47,1.28,1.61,0.82,3.99,1.62,2.24,1.53,3.89,1.16,2.75,0.89,1.49,0.86,5.48,1.63,,,
August,,,,,2.61,4.54,1.72,2.15,1.38,0.59,4.14,1.04,3.44,2.75,2.61,2.4,1.84,1.13,2.52,1.68,1.55,0.55,11.22,1.34,0.59,1.95,3.43,4.49,1.45,2.15,1.79,1.4,1.51,2.23,2.26,2.2,2.29,3.06,1.67,1.13,2.27,3.09,1.83,0.71,1.65,1.04,1.54,0.99,1.07,2.93,1.05,3.54,0.87,1.6,1.24,3.09,3.97,0.04,,,
September,,,,,2.02,0.44,3.84,3.43,0.16,3.08,0.62,0.93,1.38,2.99,1.81,2.3,1.08,0.46,2.64,1.67,1.45,2,2.69,3.08,1.31,1.54,1.47,2.22,4.88,0.8,1.86,1.3,2.57,1.77,5.02,3.18,1.05,7.02,1.16,0.67,5.5,2.17,2.4,2.43,1.63,2.99,2.44,1.7,2.24,1.55,0.7,0.35,1.33,2.18,3.39,2.66,2.53,0.81,,,
October,,,,,2.89,4.04,3.73,0.93,2.5,2.73,2.17,2.24,1.4,4.88,1.34,3.82,3.17,3.21,1.3,3.81,1.54,3.03,1.93,4.37,2.42,1.96,2.67,3.37,2.75,3.47,0.82,1.43,1.33,3.64,4.33,1.83,2.74,2.53,2.65,3.12,0.93,1.04,4.1,2.67,1.62,2.94,1.92,1.52,2.87,5.59,1.98,2.9,2.82,1.49,3.62,2.87,1.01,0.47,,,
