"OKEHAMPTON OAKLANDS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1851,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,7.17,4.45,3.77,3.83,5.40,4.69,1.55,3.27,1.46,9.63,,
February,1.30,0.09,4.19,7.24,4.88,0.14,0.88,4.82,3.67,4.85,,
March,2.43,2.42,1.35,0.77,3.59,3.28,5.45,5.57,2.37,1.41,,
April,4.80,2.78,1.49,0.54,2.79,2.53,0.82,5.05,2.25,4.17,,
May,2.45,3.82,1.83,1.96,3.85,0.60,0.07,1.74,4.88,3.72,,
June,3.21,2.27,2.08,0.74,2.43,1.10,2.15,2.55,3.86,1.45,,
July,4.39,3.03,2.26,6.14,3.70,4.06,1.81,1.89,0.64,1.25,,
August,3.92,8.37,4.19,1.88,4.40,4.54,2.49,7.37,4.31,1.78,,
September,1.67,3.65,4.59,2.96,2.10,1.53,7.70,6.31,1.26,4.04,,
October,4.04,9.30,6.81,4.72,6.83,7.60,5.13,1.63,8.17,4.17,,
November,4.97,4.53,3.46,3.72,8.24,8.00,1.55,3.01,3.53,4.60,,
December,3.92,7.58,3.29,7.16,4.12,7.26,8.46,9.29,6.80,5.37,,
Total,44.27,52.29,39.31,41.66,52.33,45.33,38.06,52.50,43.20,46.44,,
Calc annual,44.27,52.29,39.31,41.66,52.33,45.33,38.06,52.50,43.20,46.44,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
