"OTLEY (SEWAGE WORKS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3316,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.64,2.19,1.43,1.90,1.13,3.49,2.77,2.24,4.21,2.40,,
February,2.21,0.37,4.16,0.16,2.97,2.20,4.69,1.34,2.53,1.62,,
March,0.40,1.88,1.64,2.40,0.97,2.09,2.77,0.15,1.82,1.73,,
April,3.11,2.24,1.51,3.62,2.14,1.37,2.70,0.14,1.05,2.89,,
May,2.46,4.33,4.38,1.34,1.00,1.61,2.49,3.27,1.09,0.97,,
June,6.18,0.67,1.76,1.48,2.64,4.28,2.07,2.75,1.96,0.29,,
July,4.30,3.90,1.94,1.43,0.45,3.15,1.74,3.17,6.24,3.24,,
August,4.19,0.83,0.43,1.42,1.43,2.06,0.56,2.75,1.44,0.51,,
September,4.80,2.27,2.24,2.06,5.14,2.28,1.33,2.26,1.25,2.05,,
October,0.98,3.58,3.54,2.71,5.34,2.21,2.20,4.77,2.73,3.24,,
November,3.91,1.55,2.85,1.68,4.73,3.36,1.66,3.46,4.34,3.95,,
December,0.91,0.99,0.55,4.46,2.52,2.00,2.19,4.03,1.86,2.12,,
Total,35.09,24.80,26.43,24.66,30.47,30.10,27.17,30.33,30.52,25.01,,
Calc annual,35.09,24.80,26.43,24.66,30.46,30.10,27.17,30.33,30.52,25.01,,
Difference,0.00,0.00,-0.00,0.00,0.01,0.00,0.00,-0.00,0.00,0.00,,
