PARKSTONE - ST. OSMONDS ROAD,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1585,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,4.74,2.98,7.70,2.32,,,,,,,,
February,4.10,0.32,1.11,0.41,,,,,,,,
March,3.80,3.33,1.03,0.32,,,,,,,,
April,2.19,1.80,0.77,1.85,,,,,,,,
May,2.19,4.02,2.78,0.38,,,,,,,,
June,1.95,0.47,0.94,1.97,,,,,,,,
July,2.34,1.88,2.29,2.86,,,,,,,,
August,4.09,3.62,2.00,2.94,,,,,,,,
September,1.03,3.12,2.10,2.60,,,,,,,,
October,0.95,4.05,4.78,5.79,,,,,,,,
November,2.15,1.58,1.90,7.81,,,,,,,,
December,2.61,4.43,3.29,2.90,,,,,,,,
Total,32.14,31.60,30.69,32.15,,,,,,,,
Calc annual,32.14,31.60,30.69,32.15,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
