"PATELY BRIDGE YORKSHIRE FOG CLOSE HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1428,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,,,,5.53,,
February,,,,,,,,,,6.70,,
March,,,,,,,,,,3.08,,
April,,,,,,,,,,2.98,,
May,,,,,,,,,,4.55,,
June,,,,,,,,,,1.55,,
July,,,,,,,,,,1.43,,
August,,,,,,,,,,1.53,,
September,,,,,,,,,,5.56,,
October,,,,,,,,,,2.53,,
November,,,,,,,,,,3.51,,
December,,,,,,,,,,8.45,,
Total,,,,,,,,,,47.40,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.40,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
