PATRINGTON (ROSE COTTAGE) (STATION ROAD),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3391,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.62,3.29,3.78,2.58,3.36,2.00,1.77,4.15,1.15,1.08,,
February,2.36,1.15,0.41,2.73,1.77,2.10,2.10,0.93,0.41,3.62,,
March,3.02,0.83,0.35,0.62,0.80,0.90,4.05,0.47,0.74,0.49,,
April,0.87,1.17,0.90,2.35,2.02,0.90,1.09,1.61,2.02,2.35,,
May,1.95,2.58,2.37,2.24,1.60,1.45,0.42,1.46,1.27,2.55,,
June,0.38,1.58,1.69,2.90,1.67,1.68,2.18,3.35,0.54,2.09,,
July,3.02,1.72,0.89,2.11,1.04,2.83,0.74,1.28,2.75,2.75,,
August,2.40,1.25,2.33,2.70,4.21,2.69,0.23,2.49,1.40,2.18,,
September,0.74,1.89,3.48,5.36,0.91,3.30,0.75,1.97,1.00,2.30,,
October,3.16,1.90,1.11,2.85,1.75,2.33,0.92,2.07,2.19,0.90,,
November,2.50,2.21,2.49,4.11,1.16,3.85,1.28,0.84,2.29,3.66,,
December,0.54,2.22,1.07,1.66,1.70,2.44,2.04,2.35,1.90,2.27,,
Total,23.56,21.79,20.87,32.21,-999.00,26.47,17.57,22.97,17.66,26.24,,
Calc annual,23.56,21.79,20.87,32.21,21.99,26.47,17.57,22.97,17.66,26.24,,
Difference,0.00,0.00,0.00,0.00,-1020.99,-0.00,0.00,-0.00,0.00,0.00,,
