PATRINGTON STATION ROAD,,,,,,,,
Grid ref,TA308230,Long,-0.021,Lat,53.687,Elevation,46,ft
Station no,3391,,,,,,,
,,,,,,,,
,1946,1947,1948,1949,1950,1951,,
January,2.00,1.77,4.15,1.15,1.08,1.94,,
February,2.10,2.10,0.93,0.41,3.62,2.23,,
March,0.90,4.05,0.47,0.74,0.49,2.35,,
April,0.90,1.09,1.61,2.02,2.35,,,
May,1.45,0.42,1.46,1.27,2.55,,,
June,1.68,2.18,3.35,0.54,2.09,,,
July,2.83,0.74,1.28,2.75,2.75,,,
August,2.69,0.23,2.49,1.40,2.18,,,
September,3.30,0.75,1.97,1.00,2.30,,,
October,2.33,0.92,2.07,2.19,0.90,,,
November,3.85,1.28,0.84,2.29,3.66,,,
December,2.44,2.04,2.35,1.90,2.27,,,
Total,26.47,17.57,22.97,17.66,26.24,,,
,,,,,,,,
TYRain_1941-1950_22_pt1/102,,,,,,,,
TYRain_1951-1960_20_pt1/183,,,,,,,,
,,,,,,,,
"# The gauge moved to Station Road from Rose Cottage in the mid-1940s, probably December 1945.",,,,,,,,
# The exact property on Station Road is not specified.,,,,,,,,
# Directions from Rose Cottage put it near the station itself.,,,,,,,,
