PAVENHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP982555,Long,-0.564932,Lat,52.18901,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1183/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.9,1.91,4.47,2.41,,,,,,1.03,1.49,3.77,0.87,0.81,2.6,1.55,1.07,0.98,1.85,3.4,,2.44,2,2.54
February,,,,,,,3.18,0.79,0.62,1.9,,,,,,1.49,1.78,0.81,1,3.29,3.18,0.57,1.6,2.14,1.51,0.34,,2.54,0.05,1.89
March,,,,,,,2.89,0.19,2.01,1.94,,,,,,1.04,4.96,0.81,1.29,0.79,3.5,2.89,0.56,2.33,1.64,0.69,,1.4,2.64,1.67
April,,,,,,,2.25,0.19,2.61,2.26,,,,,,1.21,1.88,1.48,1.41,1.52,3.09,1.63,2.26,0.25,0.6,1.11,,0.76,1.86,0.28
May,,,,,,,3.95,1.75,1.34,1.5,,,,,,2.31,1.19,3.64,3.28,3.5,2.57,2.96,2.02,2.54,3.56,0.2,,1.66,0.39,1.19
June,,,,,,,1.46,0.78,1.81,0.78,,,,,,2.17,1.7,3.17,1.03,1.91,1.41,1.2,2,3,2.76,2.8,,5,0.8,2.31
July,,,,,,,1.38,1.07,3.66,3.13,,,,,,1.41,2.13,1.12,1.4,4.44,1.37,0.59,2.32,2.5,0.27,3.97,,2.6,2.24,2.92
August,,,,,,,1.46,4.38,2.65,0.14,,,,,,3.44,0,3.14,0.87,1.95,2.52,2.46,2.6,4.85,0.7,3.96,,3.21,0.65,2.11
September,,,,,,,1.6,1.73,0.9,0.68,,,,,,3.57,1.08,2.18,0.77,3.25,1.98,2.76,1.24,2.11,1.54,1.76,,2.18,0.01,3.95
October,,,,,,,2.17,2.31,4.33,1.92,,,,,,1.6,0.17,2.71,4.73,0.66,0.76,2.9,1.89,2.39,1.17,1.91,,2.01,1.7,4.59
November,,,,,,,1.95,2.19,3.06,5.76,,,,,,4.47,1.72,1.38,2.39,3.86,4.14,2.98,1.71,3.91,1.94,0.7,,1.57,1.43,2.6
December,,,,,,,2.2,3.25,2.07,1.35,,,,,,1.96,2.69,2.66,1.24,1.24,1.82,2.11,0.52,2.48,2.09,2.25,,1.25,3.22,2.97
Total,,,,,,,27.39,20.54,29.53,23.77,,,,,,25.7,20.79,26.87,20.28,27.22,28.94,24.6,19.79,29.48,19.63,23.09,,26.62,16.99,29.02
