"PEMBRIDGE (BURTON COURT)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2240,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.98,2.79,3.71,1.18,3.51,2.39,3.60,3.23,4.49,1.16,5.16,
February,1.19,0.32,3.47,6.66,0.31,3.67,2.28,2.48,1.97,0.80,0.62,
March,2.78,1.79,2.65,1.26,1.39,0.71,0.49,2.68,2.87,0.17,2.40,
April,5.21,0.94,2.25,2.25,2.84,2.10,2.96,1.79,1.56,0.83,3.11,
May,2.27,1.29,0.87,1.68,3.82,4.08,2.23,1.34,0.90,2.93,2.26,
June,2.58,0.45,1.01,0.49,3.93,0.03,1.41,3.49,3.38,2.98,1.21,
July,4.46,0.65,3.39,2.20,4.52,2.50,2.13,2.44,1.30,1.87,2.74,
August,1.41,2.76,3.14,3.36,2.64,3.75,2.35,6.02,2.69,1.38,3.48,
September,2.14,1.64,2.43,1.89,4.10,3.97,1.09,3.60,1.42,1.58,3.59,
October,3.42,2.18,0.75,4.41,4.46,3.40,2.70,2.30,4.64,4.83,2.88,
November,1.45,2.13,1.34,1.62,2.70,2.22,6.24,3.41,3.38,8.21,3.19,
December,3.48,1.77,3.83,2.65,3.58,3.14,0.76,2.90,2.40,7.71,3.96,
Total,33.37,18.71,28.84,29.65,37.80,31.96,28.24,35.68,31.00,34.45,34.60,
Calc annual,33.37,18.71,28.84,29.65,37.80,31.96,28.24,35.68,31.00,34.45,34.60,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,
