PENTLAND HILLS GLEN COTTAGE (daily),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT222635,Long,-3.244469,Lat,55.858386,Elevation,739,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.17,2.75,1.56,0.57,6.44,1.79,6.49,6.97,4.5,3.86,1.95,3.05,3,2.55,4,4.8,2.3,3.15,7,2.2,3.65,4.28,6,5.9,3.5,2.4,2.7,5.5,4.85,3.45,5.7,2.6,9.5,4.5,1.7,1.85,2.75,3.6,4.55,6.1,2.65,6.1,2.1,2,1.85,6.1,2.6,1.26,1.25,3.7,2.45,1.45,1.6,1.4,5.55,4.5,2.3,1.4,5.93,3.35,1.22,5.19,1.56,5.59,4.9,3.86,1.88,2.35,2.7,2.96,2.06,4.8,3.01,2.8,3.59,4.27,6.6,2.69,2.34,3.22,4.16,3.99,3.29,6.95,1.4,4.77,2.1,4.97,3.99,3.88,1.31,4.19,3.61,4.92,5.42,1.3,2.39,4.94,3.44,3.03,3.72,3.09,3.3,7.24,3.48,2.29,4.06,3.54,0.65,3.49,2.4,2.04,4.21,1.62,1.32,3.42,,
February,,,,,,1.01,2.64,1.56,6.33,1.53,6.51,2.72,5.34,2.2,2.55,2.5,2.85,1.55,1.1,2.45,2.75,2.75,2.05,2.6,3.1,1.75,4.6,2.9,6,4.8,4.05,2.9,2.6,1.4,1.2,1,4,3.2,1.4,2.05,3.2,3.55,2.5,2.05,2.35,4.2,2.08,2.45,3.5,3.05,1.05,0.6,3.9,3.85,9.5,1.1,1,2.4,2.4,2.15,5.1,1.45,1.06,6.3,3.69,1.8,1.92,2.34,1.73,2.4,3.99,3.59,2.74,2.05,2.71,3.05,5.99,0.76,4.24,2.19,4.02,1.15,2.71,3.09,0.83,6.2,3.08,1.39,3.07,1.17,0.7,2.4,0.41,2.06,0.11,3.01,4.08,4.73,1.25,2.67,1.44,6.1,1.55,2.39,1.29,3.86,1.71,2.16,3.23,2.35,4.7,3,0.68,1.15,2.27,1.82,2.02,2.82,2.68,0.68,2.6,,
March,,,,,,1.94,3.38,1.02,4.38,1.41,0.69,5.74,0.85,0.75,2,1.8,0.1,2.4,1.6,5,3.5,3.5,4.6,1,4.05,1.55,1.8,1.9,3.9,1.5,2.25,1.85,4.6,1.5,2.2,1.6,6.1,2.45,1.2,4,2.7,4.5,5.25,2.65,2.55,2.3,4,2.75,6.9,1.3,2.8,4.7,1.6,1.3,3.1,6.9,3.1,4.05,2.2,3.15,2,3.37,2.13,6.58,1.79,4.37,3.6,2.62,4.81,7.15,1.61,2.47,3.35,5.14,4.33,2.12,4.25,2.1,1.02,2.86,3.13,3.65,2.24,1.42,0.91,2.6,2.28,3.08,2.57,0.29,2.93,1.12,3.11,1.31,3.57,1.17,2.78,3.78,1.2,3.85,4.08,3.64,1.78,2.06,0.46,1.82,2.79,5.1,1.94,1.04,3.44,3.82,1.84,0.81,2.11,2.2,1.57,2.08,1.98,0.86,1.61,,
April,,,,,,1.2,2.93,2.39,1.93,2.1,1.43,4.04,0.4,2.61,0.95,1.15,3.55,2.6,1.25,3.65,0.85,2.25,2.05,3.45,0.9,0.4,2.2,3.85,4.65,2,0.75,4.6,3.35,0.4,2.75,1.15,2.95,4,1.75,6.2,4.97,0.8,3.75,1.5,1.4,3.1,2.8,1.65,2.7,3.55,1.4,0.8,1.75,1.7,1.7,2.35,1.85,2,2.35,4.2,2.4,2.52,1.67,1.49,3.21,2.39,1.33,1.69,2.23,3.15,4.83,2.55,0.4,2.77,2,2.06,5.25,3.41,0.93,3.71,3.78,0.78,2.02,2.72,1.62,4.9,1.92,1.9,1.28,2.08,1.33,2.51,3.86,2.73,5.41,3.91,1.77,1.44,0.22,1.91,2.74,2.6,1.76,1.44,2.64,1.79,0.93,4.84,2.68,2.44,3.7,4.15,2.31,3.83,1.49,1.03,0.9,1.03,2.27,2.2,1.25,,
May,,,,,,3.37,2.42,4.6,1.05,2.26,3.98,1,2.6,1.1,3.7,2.35,3.65,2.1,2.95,0.1,1.05,0.85,3.4,2.15,1.9,6.05,2,2.8,2.6,2.95,1.6,0.7,5.2,2.5,2,1.6,1.6,3.2,3.9,3.3,2.25,3.4,2.4,1.65,3.2,3.8,5.9,3.48,1.6,2.4,2.6,3.05,3.5,2.3,4.65,1.2,0.75,2.2,2,4.6,2,3.14,3.59,2.93,4.74,1.41,5.87,3.65,2.85,2.13,2.2,1.48,1.85,2,2.74,1.78,5.25,1.86,3.05,0.91,3.44,1.95,1.53,3.5,5.36,5.13,3.41,1.67,1.91,2,1.51,3.1,3.92,2.07,1.87,0.97,1.04,3.18,4.05,1.09,1.98,4.19,2.11,4.18,3.34,4.66,2.22,3.03,2.36,2.67,2.48,3.7,1.91,2.21,5.05,3.16,1.33,1.58,2.48,0.74,1.15,,
June,,,,,,4.41,4.54,1.98,4.27,1.84,1.49,3.8,2.96,5.2,5.9,3.15,5.15,5.35,1.7,1.65,3.9,2.65,3.3,3.85,1.45,0.4,1.25,2.5,1.2,1.15,3.25,2.35,3.35,1.05,1.5,2.75,3.4,3.4,2.35,2.15,2.5,2.85,4.83,2.43,0.65,0.75,1.7,0.5,3.35,1.3,3.6,1,3.9,4.85,2.1,2.45,4.5,4.45,2.5,1.6,3.6,2.51,3.94,1.98,3.28,1.07,2.31,3.94,1.54,2.91,1.5,4.12,5.83,2.2,1.67,1.59,3.56,2.2,0.88,2.1,1.44,0.38,1.84,1.63,2.6,0.58,4.1,3.8,5.83,2.82,2.06,4.86,1.36,2.41,3.25,2.48,1.92,1.43,5.03,1.94,1.04,1.04,1.5,2.27,3.01,1.94,2.32,3.02,5.1,1.21,1.83,2.26,2.98,1.92,3.28,1.04,2.77,1.87,3.56,1.84,1.54,,
July,,,,,,2.08,5.76,1.21,2.44,3.35,2.66,3.26,2.35,4.15,2.5,4,2.4,1.55,4,3.15,1.25,4.2,3.8,0.65,2.2,3.4,4.8,7.55,0.55,0.95,1.95,3.1,3.85,3.85,2.55,3.85,2.25,6.2,0.5,11,3.9,4.1,3.75,4.2,5.6,1,3.23,3.3,7.2,5.6,4.45,3.11,1.75,3.7,1.7,5.2,5,2.7,1.35,4.55,3.15,1.03,2.76,4.83,2.34,2.28,1.78,3.11,4.6,4.36,4.51,1.36,2.85,0.55,3.56,4.48,7.93,2.25,3.72,1.24,3.97,3.19,4.38,4.04,4.5,1.83,3.07,3.26,2.8,3.99,4.55,3.61,2.8,4.13,2.62,0.83,5.28,5.04,3.66,2.96,7.75,4.07,3.46,3.76,2.75,3,4.38,3.11,2.38,2.69,3.6,3.8,2.57,4.66,2.49,2.3,5.46,5.77,6.64,3.2,2.66,,
August,,,,,,5.43,5.3,1.07,2.77,2.73,3.33,4.47,5.5,3.5,2.4,4.3,4.65,2.2,1.75,1.4,1.9,4,6,4.25,0.65,4.5,3.75,1.9,5.8,1.25,1.65,2.65,3.75,4.5,6.6,2.5,4.35,9.6,6.9,4,1.1,7.1,1.8,3.5,1.55,3.1,1.6,2.65,2.5,6.45,5.1,6.96,5.6,4.05,4.9,5.6,1.5,3.7,4,0.6,4.9,5.45,1.72,4.11,5.71,4.05,6.94,4.42,1.95,2.48,5.4,1.42,5.44,1.89,2.26,4.41,5.21,5.74,1.8,2.08,7.35,5.46,1.89,4.78,3.88,3.08,2.26,7.84,5.7,5.63,5.84,5.88,0.73,1.04,4.15,2.74,1.68,3.95,2,1.56,0.9,4.81,3.1,4.78,3.06,4.23,5.05,0.04,11.55,2.79,4.75,6.42,4.39,1.95,6.39,1.35,7.84,4.52,3.13,0.5,3.99,,
September,,,,,,4.85,1.99,2.39,1.58,1.76,2.13,4.15,3.5,2.8,1.4,0.75,7.45,6.25,2.25,2.15,1.05,4.5,2.1,4.8,3.6,0.7,3.65,2.45,4.6,5.7,2.5,3.05,5.3,3.25,3.2,4.5,4.25,2.05,4.4,2.15,4.23,4.25,2.95,3.75,3.6,4.45,4.35,5.65,1.35,1.4,2.4,7.6,2.75,2.1,0.7,1,5.8,2.7,2.7,2.8,3.8,1.63,2.47,2.73,1.73,3,0.85,1.61,4.53,2.94,0.84,2.37,4.03,2.6,0.97,2.62,1.97,2.03,5.6,3.9,1.7,2.19,2.11,2.74,3.64,4.29,3.61,10.83,3.06,0.54,5.62,2.25,3.46,2.37,2.36,4.04,3.5,3.1,3.46,1.89,3.02,1.03,4.03,2.08,6.41,4.33,4.97,2.09,3.6,2.39,6.83,1.83,3.06,3.08,3.78,1.78,4.43,1.81,3.59,0.61,1.67,,
October,,,,,,4.64,5.27,2.04,5.34,3.25,2.59,3.03,4.8,5.85,2.8,4.2,1.35,2.15,4.7,4,3.45,1.8,6.25,3.15,9.9,6.55,1.5,2.45,2.9,2.35,3.5,2.55,5.55,6.1,5.15,3.4,3.55,3.75,3.75,1.85,4.55,2.7,3.25,3.65,2.2,3.05,5.8,3.2,2.63,4.55,3.3,3.46,5.5,3.2,2.95,4.3,6.7,1.5,4.5,4.6,4.85,2.62,2.67,8.37,1.66,2.6,9.03,10.43,1.36,5.79,3.58,4.57,4.06,2.86,1.63,2.4,6.17,4.15,4.73,3.37,1.15,4.89,2.26,3.27,3.61,2.22,4.29,4.31,3.95,3.68,3.92,2.59,6.8,2.47,4.68,7.39,2.68,4.53,6.78,3.24,3.21,4.42,3.98,4.41,3.08,4.6,0.95,1.37,1.78,5.59,3.5,0.74,2.04,1.72,7.01,1.91,2.15,2.65,1.51,2.37,3.12,,
