"MIDHURST LODSWORTH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4906,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.15,1.47,3.34,4.98,0.55,4.66,1.40,1.04,3.59,5.78,,
February,4.21,1.78,3.16,1.29,5.16,5.77,4.37,1.07,1.49,2.76,,
March,1.59,2.61,3.72,3.32,5.44,0.51,3.56,1.86,1.22,4.90,,
April,2.32,1.30,0.00,2.78,1.44,1.30,0.75,1.42,1.95,3.23,,
May,1.83,1.30,0.93,2.65,5.26,2.52,2.19,0.96,1.44,0.42,,
June,1.66,1.46,3.23,0.37,0.58,1.29,2.05,3.45,1.13,0.70,,
July,2.87,0.55,2.51,2.24,2.11,2.31,0.81,2.64,3.63,1.57,,
August,2.36,1.39,6.19,1.93,1.67,1.76,2.91,5.53,1.16,2.51,,
September,0.22,1.25,3.65,2.69,1.22,2.18,2.39,1.59,6.52,0.66,,
October,3.11,5.03,3.42,4.30,2.27,3.52,5.23,3.73,1.16,0.41,,
November,4.38,4.82,2.03,3.34,4.06,2.95,5.28,1.15,2.44,1.93,,
December,5.37,9.37,4.20,1.84,10.07,8.54,2.99,1.51,2.77,3.59,,
Total,33.07,32.33,36.38,31.73,39.83,37.31,33.93,25.95,28.50,28.46,,
Calc annual,33.07,32.33,36.38,31.73,39.83,37.31,33.93,25.95,28.50,28.46,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
