"GOODAMOOR, PLYMPTON ST MARY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,
January,7.56,5.55,5.22,5.82,3.56,6.09,7.35,4.23,2.37,6.12,,
February,4.64,3.94,4.32,3.60,6.20,4.22,2.81,3.16,9.72,4.44,,
March,0.21,4.80,6.13,2.61,5.68,1.84,3.90,4.92,4.92,1.26,,
April,0.68,2.55,0.67,5.12,1.06,4.10,4.35,4.06,5.51,5.08,,
May,3.83,5.94,2.86,5.96,0.11,2.13,3.60,4.17,1.65,5.16,,
June,2.41,3.20,2.66,5.99,2.53,4.76,2.74,5.08,6.96,1.12,,
July,4.01,3.11,3.60,2.27,2.19,4.21,5.28,3.94,6.90,4.02,,
August,2.68,7.90,4.54,6.46,3.67,2.16,4.12,2.35,5.98,3.63,,
September,5.19,9.36,4.49,1.15,1.69,6.68,1.69,3.19,2.82,8.71,,
October,1.50,9.14,2.73,7.84,5.00,3.66,9.41,9.66,4.57,5.06,,
November,11.04,8.24,13.96,7.29,10.30,6.96,6.40,4.25,3.92,4.60,,
December,1.27,7.69,4.10,1.75,2.10,6.02,2.39,8.27,5.37,9.06,,
Total,45.02,71.42,55.28,55.86,44.09,52.83,54.04,57.28,60.69,58.26,,
Calc annual,45.02,71.42,55.28,55.86,44.09,52.83,54.04,57.28,60.69,58.26,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
