PONTYCYMER (GAWR SEC SCHOOL),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4071,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,10.93,13.92,6.12,7.88,7.40,,,8.97,,,11.10,
February,4.17,0.21,9.20,14.86,0.83,,,5.61,,,1.04,
March,7.54,6.66,4.33,2.94,3.72,,6.06,7.49,,,4.26,
April,10.22,1.57,5.04,1.47,5.89,,7.31,3.65,,,5.48,
May,5.84,3.62,2.82,2.20,5.00,,6.54,3.76,,,2.87,
June,6.21,0.79,4.40,1.94,2.05,,4.86,6.79,,,4.18,
July,10.13,2.62,8.66,0.47,8.57,,5.68,10.24,,,6.76,
August,3.45,4.81,6.51,4.90,12.16,,8.33,11.68,,7.89,10.24,
September,6.22,3.91,6.14,6.02,8.11,,3.29,10.83,,2.10,8.07,
October,4.58,2.90,2.95,11.23,11.25,,9.15,7.64,,11.99,13.27,
November,5.84,5.33,3.74,6.74,7.77,,11.88,9.21,,19.67,8.45,
December,8.95,7.09,11.33,6.10,12.07,,8.45,5.26,,13.35,8.67,
Total,84.08,53.43,71.24,66.75,84.82,,85.13,91.13,,,84.39,
Calc annual,84.08,53.43,71.24,66.75,84.82,0.00,71.55,91.13,0.00,55.00,84.39,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,13.58,-0.00,NaN,NaN,0.00,
