"POPLAR OLD FORD (PUMPING STN)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,55,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.31,1.18,3.48,2.40,0.36,3.63,1.14,1.20,2.88,2.86,,
February,2.14,1.23,1.44,0.73,2.03,2.59,3.13,0.82,1.08,2.37,,
March,0.73,1.66,2.24,1.96,3.89,0.81,3.95,1.66,0.85,3.26,,
April,1.53,1.44,0.03,2.18,0.75,0.99,1.18,1.77,3.22,3.21,,
May,1.82,1.06,0.90,1.25,1.89,3.30,1.61,3.63,3.22,0.45,,
June,1.80,2.29,2.76,0.46,1.62,0.72,1.98,2.43,1.66,1.59,,
July,2.18,0.30,1.20,2.78,1.32,3.54,1.42,3.76,6.97,2.16,,
August,2.29,0.68,4.44,1.42,0.84,2.75,4.62,3.81,1.88,1.96,,
September,0.60,1.44,1.99,1.17,0.71,1.91,1.00,1.53,4.89,1.00,,
October,1.80,2.98,1.95,3.22,0.99,1.75,2.57,2.97,1.20,0.89,,
November,3.08,3.28,1.46,2.15,3.01,2.39,3.94,1.55,1.86,1.19,,
December,2.71,3.66,2.64,0.70,5.84,4.98,2.36,1.12,2.31,3.16,,
Total,21.99,21.20,24.53,20.42,23.25,29.36,28.90,26.25,32.02,24.10,,
Calc annual,21.99,21.20,24.53,20.42,23.25,29.36,28.90,26.25,32.02,24.10,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
