"PORT TALBOT MARGAM W.W.",,,,,,,,,,,,
Grid ref,SS815902,Long,-3.712260,Lat,51.598140,,,,,,,
Station no,4067,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.60,,,,,,,,,,,
February,8.20,,,,,,,,,,,
March,1.50,,,,,,,,,,,
April,2.72,,,,,,,,,,,
May,2.93,,,,,,,,,,,
June,4.85,,,,,,,,,,,
July,1.55,,,,,,,,,,,
August,6.15,,,,,,,,,,,
September,4.16,,,,,,,,,,,
October,7.35,,,,,,,,,,,
November,8.04,,,,,,,,,,,
December,8.01,,,,,,,,,,,
Total,63.06,,,,,,,,,,,
Calc annual,63.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
