"PORTLAW, WATERFORD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1387,,,,,,,,,,,
,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,
January,4.22,8.94,6.20,6.17,7.26,0.45,4.97,2.50,1.75,3.83,,
February,2.76,1.66,2.01,1.08,1.13,1.81,4.76,2.31,5.08,2.11,,
March,1.43,3.91,2.15,3.34,1.27,3.78,1.67,5.05,1.09,3.43,,
April,6.65,2.29,1.29,2.52,0.30,1.24,3.43,2.73,7.95,4.73,,
May,1.41,2.04,2.45,1.46,3.65,4.68,5.50,0.79,3.19,0.66,,
June,1.72,3.92,7.35,2.94,5.05,2.85,0.68,2.99,1.64,0.43,,
July,3.63,2.55,1.02,3.79,4.53,3.77,0.52,2.81,2.34,2.47,,
August,1.66,2.45,3.56,2.99,2.02,5.75,2.94,2.81,2.25,4.80,,
September,2.55,1.59,1.88,2.92,1.35,1.96,3.74,4.71,3.30,6.88,,
October,1.29,3.56,3.13,9.20,3.22,2.79,4.20,4.38,1.82,3.97,,
November,4.88,0.68,11.76,4.67,1.29,2.49,0.74,3.49,3.02,4.48,,
December,5.73,3.09,8.49,2.10,1.45,4.44,4.75,3.17,5.63,4.80,,
Total,37.93,36.68,51.29,43.18,32.52,36.01,37.90,37.74,39.06,42.59,,
Calc annual,37.93,36.68,51.29,43.18,32.52,36.01,37.90,37.74,39.06,42.59,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
