"PORTSKEWETT (SUDBROOK)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4010,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.85,3.04,3.16,1.57,4.41,3.52,5.20,3.54,5.66,1.06,4.88,
February,0.97,0.17,3.72,6.03,0.36,3.81,2.12,3.17,4.08,1.08,0.45,
March,-999.00,1.66,3.61,1.29,1.79,0.33,0.28,2.62,4.03,0.49,2.14,
April,4.17,0.54,2.53,2.50,2.62,1.56,2.31,1.30,0.74,0.73,2.19,
May,2.55,2.03,0.89,1.78,5.87,3.88,1.55,0.71,0.67,2.81,1.19,
June,4.18,0.10,1.14,0.55,3.83,0.00,1.90,3.07,2.56,1.82,0.85,
July,4.91,0.66,4.71,1.87,5.02,3.95,1.96,5.83,2.60,1.72,2.63,
August,1.80,2.93,3.17,2.44,4.93,2.63,3.01,4.33,2.19,2.81,2.89,
September,3.43,2.64,1.99,2.36,4.60,4.07,0.66,5.74,0.66,0.29,3.50,
October,2.81,1.71,1.15,6.07,5.10,4.27,3.06,3.41,5.59,5.03,3.27,
November,1.61,2.44,1.67,3.00,2.99,1.48,6.79,3.37,3.55,9.41,3.94,
December,3.58,2.23,5.67,2.75,5.10,4.36,0.35,3.78,3.15,7.59,3.22,
Total,38.11,20.15,33.41,32.21,46.62,33.86,29.19,40.87,35.48,34.84,31.15,
Calc annual,34.86,20.15,33.41,32.21,46.62,33.86,29.19,40.87,35.48,34.84,31.15,
Difference,3.25,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
