POWDERHAM-CASTLE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX963838,Long,-3.46798,Lat,50.64482,Elevation,57,ft,,,,,,,,,,,,
Station no,RR4635,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,5.06,1.14,7.36,2.04,5.8,0.73,2.38,1.59,3.43,4.04,2.42,5.11,3.34,1.14,
February,,,,,,2.6,3.49,1.01,1.98,6.33,4.2,4.7,2.36,6.3,6.16,4.15,1.79,0.44,0.81,
March,,,,,,0.5,3.68,2.73,1.16,0.41,1.42,4.52,0.8,1.15,3.17,1.23,2.93,1.54,4.98,
April,,,,,,1.4,2.65,7.38,4.42,4.17,2.38,1.01,5.36,1.48,4.09,4.03,1.93,1.18,1.65,
May,,,,,,2.9,0.43,2.93,4.62,2.21,0.97,0.55,1.44,1.37,1.16,2.55,3.68,1.5,2.18,
June,,,,,,3.08,0.99,2.24,2.38,5.95,1.3,3.47,2.85,2.97,1.96,1.56,0.76,0,2.43,
July,,,,,,4.78,0.96,2.65,2.28,5.68,2.48,1.71,2.33,3.03,2.53,0.11,2.84,1.78,7.48,
August,,,,,,2.03,3.08,3.67,4.03,4.72,0.53,4.62,1.88,0.62,0.95,3.09,1.48,1.15,1.93,
September,,,,,,4.02,5.83,1.95,1.78,2.29,2.88,2.36,4.18,6.46,2.18,3.51,1.73,2.1,0.87,
October,,,,,,8.05,5.57,2.38,3.74,1.05,5.68,2.81,6.51,3.37,0.98,5.8,5.84,4.24,1.31,
November,,,,,,4.02,5,6.92,2.77,0.07,2.92,4.53,4.23,3.49,1.66,3.87,2.47,3.89,8.62,
December,,,,,,0.79,9.79,1.83,2.72,0.78,3.65,3.19,3.95,0.58,2.67,1.86,5.02,2.66,3.62,
Total,,,,,,39.23,42.61,43.05,33.92,39.46,29.14,35.85,37.48,34.25,31.55,34.18,35.58,23.82,37.02,
,,,,,,,,,,,,,,,,,,,,
1888 Gauge moved to an open spot,,,,,,,,,,,,,,,,,,,,
Gauge near Peach House which likely near kitchen garden,,,,,,,,,,,,,,,,,,,,
