RIPLEY DUNSBOROUGH HOUSE,,,,,,,,,,,,
Grid ref,TQ053577,Long,-0.490695,Lat,51.308685,,,,,,,
Station no,RR8634,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.84,,
February,,,,,,,,,,0.30,,
March,,,,,,,,,,3.69,,
April,,,,,,,,,,1.99,,
May,,,,,,,,,,1.51,,
June,,,,,,,,,,3.29,,
July,,,,,,,,,,2.56,,
August,,,,,,,,,,2.06,,
September,,,,,,,,,,3.14,,
October,,,,,,,,,,4.14,,
November,,,,,,,,,,0.48,,
December,,,,,,,,,,3.03,,
Total,,,,,,,,,,27.03,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.03,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
