RIVER MEIG (CORRIEFEOL),,,,,,,,,,,,
Grid ref,NH203509,Long,-5.001628,Lat,57.512513,,,,,,,
Station no,5770/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,5.86,2.77,5.49,11.39,6.80,3.99,,,
February,,,,3.16,3.59,4.90,4.64,6.31,3.26,,,
March,,,,5.09,3.30,2.60,6.07,2.46,3.28,,,
April,,,,3.84,2.67,3.95,3.62,4.70,4.52,,,
May,,,,6.16,5.82,4.35,2.53,8.10,1.87,,,
June,,,,3.21,2.01,3.71,4.01,3.82,3.41,,,
July,,,,4.53,0.67,6.88,6.05,3.13,5.74,,,
August,,,,4.39,0.82,6.85,8.65,4.41,,,,
September,,,,9.96,7.49,5.80,5.93,3.63,,,,
October,,,,10.82,8.76,7.04,10.46,7.90,,,,
November,,,9.92,8.18,3.93,7.56,3.35,2.07,,,,
December,,,6.74,15.72,12.38,10.87,11.22,5.72,,,,
Total,,,,80.92,54.21,70.00,77.92,59.05,,,,
Calc annual,0.00,0.00,16.66,80.92,54.21,70.00,77.92,59.05,26.07,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,,
