"RIVINGTON GREAT HILL",,,,,,,,,,,,
Grid ref,SD646190,Long,-2.537236,Lat,53.666273,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.81,2.48,4.98,3.56,4.09,2.34,6.90,2.61,4.02,2.84,,
February,3.04,1.62,1.65,4.09,2.97,2.18,3.89,1.98,6.44,2.08,,
March,0.49,3.13,3.04,4.36,2.28,3.66,3.98,3.93,3.33,2.87,,
April,2.64,3.14,2.74,2.11,3.00,3.27,2.41,2.51,3.30,5.12,,
May,2.08,1.22,3.93,4.04,2.11,1.22,4.52,4.58,4.42,3.13,,
June,2.51,2.57,2.24,1.88,2.66,2.51,2.97,10.59,2.38,4.69,,
July,3.27,2.14,3.07,5.15,1.75,3.70,3.00,4.22,8.91,7.46,,
August,6.24,3.27,3.70,7.10,5.25,4.59,4.52,6.27,6.50,5.64,,
September,3.66,1.22,2.60,5.71,1.48,3.56,2.15,1.39,8.02,3.50,,
October,7.79,4.78,7.33,9.70,3.93,5.35,8.12,4.36,2.34,7.29,,
November,4.95,6.34,3.47,4.36,3.70,6.30,4.16,4.72,4.03,2.18,,
December,5.61,4.03,4.55,2.81,3.66,1.39,6.05,5.71,2.71,7.26,,
Total,48.09,35.94,43.30,54.87,36.88,40.07,52.67,52.87,56.40,54.06,,
Calc annual,48.09,35.94,43.30,54.87,36.88,40.07,52.67,52.87,56.40,54.06,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
