ROSS BROAD STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SO5996824187,Long,-2.583415,Lat,51.914764,Elevation,123,ft,,,,,,,,,,,,
Station no,RR7781,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,3.32,3.08,1.29,4.35,2.26,0.68,1.28,,,4.14,4.23,,,,,,
February,,,,2.41,4.05,0.88,1.39,0.94,0.87,0.41,,,2.34,1.34,,,,,,
March,,,,3.53,1.73,3.71,1.24,0.79,3.32,2.76,,,4.79,5.5,,,,,,
April,,,,2.29,1.29,2.66,0.99,3.09,2.75,2.16,,,0.17,3.89,,,,,,
May,,,,4.58,2.31,0.37,1.85,2.34,1.47,1.01,,,3.27,2.23,,,,,,
June,,,,2.79,0.96,3.78,2.84,2.17,1.16,2.38,,,4.42,0.71,,,,,,
July,,,,2.52,1.79,0.78,0.59,2.26,1.6,1.68,,,4.18,0.62,,,,,,
August,,,,3.46,1.69,3.34,0.98,2.67,3.01,2.03,,,6.28,0.98,,,,,,
September,,,,2.13,2.11,1.41,0.71,0.62,1.77,2.78,,,0.69,2.83,,,,,,
October,,,,7.72,0.53,1.71,4.46,8.42,2.07,4.32,,,3.43,3.6,,,,,,
November,,,,1.21,1.34,3.71,2.45,2.35,1.3,1.1,,,1.43,3.21,,,,,,
December,,,,2.37,2.35,0.7,1.48,3.83,2.39,5.07,,,4.45,0.87,,,,,,
Total,,,,38.33,23.23,24.34,23.33,31.74,22.39,26.98,,,39.59,30.01,,,,,,
