RUGBY CALDECOTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP512748,Long,-1.249438,Lat,52.368864,Elevation,390,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.68,0.8,3.83,4.12,0.85,2.47,1.38,2.01,1.97,4.26,2.91,1.48,2.68,1.52,2.47,1.53,2.81,2.24,3.76,1.21,3.2,1.41,1.36,1.12,1.26,0.82,2.98,2.64,2.76,4.86,2.68,2.96,2.56,3.88,1.96,1.78,1.89,1.39,,,,2.32,,,,,,,,,
February,2.2,1.38,1.61,0.77,1.63,2.91,3.55,0.59,1.37,2.77,0.66,0.15,1.72,3.42,0.57,2.41,2.99,2.7,1.96,0.18,0.51,2.88,0.28,2.39,0.5,2.11,1.8,3.35,0.74,0.93,2.52,2.11,0.84,1.02,1.23,2.03,1.83,0.93,,,,,0.56,,,,,,,,
March,0.68,2.23,3.13,3.96,2.85,0.93,3.94,1.03,0.91,3.91,1.74,0.97,2.23,1.44,0.64,0.48,0.5,1.91,1.33,0.19,1.9,0.07,1.24,2.28,1.07,0.38,1.36,2.45,0.33,1.43,2.06,2.49,1.69,0.72,0.31,0.76,0.96,5.54,0.36,,,,1.96,0.98,,,,,,,
April,1.56,0.95,0.15,2.94,1.09,0.83,1.01,1.53,2.48,1.59,4.35,1.31,2.78,1.89,3.43,1.68,2.74,1.61,1.34,1.2,1.85,3.8,3.45,0.87,1.65,3.34,1.82,3.27,0.02,1.58,1.91,1.27,0.93,0.78,2.3,0.97,1.97,1.73,1.26,,,,,1.3,,,,,,,
May,2.43,0.95,3.11,1.51,1.35,2.03,1.55,2.01,0.98,0.89,1.69,1.73,0.67,0.97,3.93,2.73,2.39,0.81,0.83,1.69,3.43,3.02,5.28,1.28,0.7,0.87,0.86,3.19,1.47,1.35,1.61,2.02,3.56,2.78,0.96,2.95,1.96,1.22,3.27,,,,,1.74,,,,,,,
June,0.98,1.53,4.11,0.68,2.65,1.41,1.49,2.96,1.07,0.95,2.62,0.32,0.59,0.41,1.79,0.02,1.48,3.44,2.54,1.11,1.59,2.4,0.54,1.83,0.66,3.32,4.02,1.28,1.34,2.07,0.45,1.78,0.07,3.96,2.2,2.49,2.33,1.21,1.98,,,,,,,,,,,,
July,2.2,0.31,3.88,0.91,1.93,4.34,1.75,1.49,2.8,3,3.19,0.31,4.16,2.7,3.08,2.4,1.69,2.24,1.58,1.86,4.28,2.48,3.96,1.14,3.02,1,5.5,2.27,2.63,5.25,2.89,3.96,1.73,0.66,2.23,2.24,2.03,1.89,,,3.19,,,,,,,,,,
August,3.14,1.69,6.42,0.72,1.38,1.71,3.27,3.39,1.14,2.13,1.24,2.98,4.71,1.76,2.28,1.78,2.15,3.08,3.58,1.72,2.07,3.66,1.73,0.83,1.75,1.19,0.61,1.13,4.49,4.06,0.15,3.8,2.68,1.56,2.77,2.9,4.41,0.23,,,2.48,6.58,,,,,,,,,
September,0.53,1.19,1.88,1.62,1.12,1.7,0.84,1.42,4.68,1.87,2.3,0.88,2.03,2.71,2.81,3.07,1.7,4.28,0.51,1.56,3.89,2.84,3.32,1.23,1.8,3.69,2.06,1.23,2.64,0.44,0.92,0.37,0.8,1.64,3.11,1.41,3.29,1.41,,,,1.25,,,,,,,,,
October,3.47,1.92,2.36,3.34,2.15,1.88,2.22,2.91,1.3,1.25,1.93,1.27,0.53,3.54,3.85,2.69,1.9,1.53,3.8,2.78,1.87,0.51,3.11,2.2,1.58,3.47,1.54,3,2.74,5.56,3.09,2.11,3.37,1.34,2.45,3.67,0.8,0.16,,,,,,,,,,,,,
November,3.47,2.42,1.66,2.48,2.41,2.17,2.88,0.95,2.13,1.33,1.1,1.32,1.1,2.43,2.42,1.31,4.03,2.56,2.56,6.05,2.76,2.34,1.9,1,1.77,4.74,2.25,1.44,2.33,3.59,6.2,2.59,1.86,1.45,3.75,0.21,5.12,1.87,,,5.45,,,,,,,,,,
December,4.5,3.66,3.1,0.85,5.44,3.77,2.2,0.74,2.32,3.81,1.99,1.58,3.16,2.7,3,2.09,0.5,2.39,2.15,4.69,2.64,0.79,0.61,0.3,5.62,3.15,2.38,1.99,2.7,1.17,1.55,1.14,2.48,0.83,1.04,2.69,2.4,2.15,,,,1.65,,,,,,,,,
Total,27.84,19.03,35.24,23.9,24.85,26.15,26.08,21.03,23.15,27.76,25.72,14.3,26.36,25.49,30.27,22.19,24.88,28.79,25.94,24.24,29.99,26.2,26.78,16.47,21.38,28.08,27.18,27.24,24.19,32.29,26.03,26.6,22.57,20.62,24.31,24.1,28.99,19.73,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_15_pt1-page-197.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1920-1930_16_pt1-page-079.csv CORRECTION: 1929 total incorrect on record. And should be 24.24 (JacsHu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_14_pt1-page-248.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1-page-046.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1-page-041.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
