"SCARBOROUGH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3466,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.80,1.35,2.62,2.94,1.56,3.07,0.67,4.15,2.75,3.98,,
February,2.31,1.08,0.92,0.61,0.91,2.47,2.71,0.81,2.21,2.26,,
March,0.55,1.55,2.29,1.99,1.56,0.74,2.85,2.27,1.26,3.51,,
April,1.38,0.72,0.19,1.89,0.57,0.96,0.85,2.17,2.41,1.68,,
May,2.41,1.11,2.71,2.74,1.56,1.86,3.38,0.98,1.87,0.75,,
June,1.58,4.61,3.57,0.91,1.71,0.68,2.03,1.44,0.76,0.93,,
July,2.43,1.22,3.61,0.88,4.93,6.41,2.48,1.51,4.68,1.24,,
August,4.14,3.02,3.47,0.99,3.03,1.88,2.90,5.26,2.82,2.55,,
September,0.51,2.90,1.66,0.98,1.27,2.14,1.04,1.65,5.06,1.09,,
October,2.42,1.79,3.25,2.42,1.82,1.29,3.06,3.12,1.04,1.32,,
November,3.52,3.33,2.32,1.84,2.53,2.24,2.85,2.19,1.20,2.10,,
December,2.25,3.95,1.23,1.20,3.33,4.46,3.96,1.76,4.99,3.00,,
Total,26.30,26.63,27.84,19.39,24.78,28.20,28.78,27.31,31.05,-999.00,,
Calc annual,26.30,26.63,27.84,19.39,24.78,28.20,28.78,27.31,31.05,24.41,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-1023.41,,
