SEDBERGH THORNS HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD663921,Long,-2.519629,Lat,54.323357,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,8.54,7.41,5.07,6.12,5.74,2.9,10.65,10.21,7.3,7.44,3.34,9.07,5.72,1.78,0.7,0.4,4.17,7.8,8.49,3.9,7.16,4.07,3.17,3.31,8.92,4.1,5.27,2.75,6.05,2.43,4.51,1.01,6.93,8.98,6.37,3.27,4.48,9.48,6.43,3.1,9.1,2.67,6.82,4.93,6.28,3.93,3.77,5.16,6.42,7.24,7.82,3.85,7.14,6.47,8.59,12.25,5.36,5.63,4.97,4.89,8.2,,,,
February,,,,,,,7.08,5.6,7.18,9.6,4.02,5.46,5.42,0.84,3.06,1.26,6.11,5.15,2.74,2.76,5.13,4.28,4.98,4.68,3.55,6,1.71,3.12,1,3.5,0.93,0.79,2.52,8.12,9.37,0.57,2.85,5.35,6.07,3.86,4.16,1.41,1.02,7.54,3.93,3.24,4.1,3.59,3.53,2.95,7.96,8.51,3.45,3.78,7.16,8.56,6.31,1.24,6.6,1.44,7.38,0.25,6.23,7.23,1.02,7.62,7.81,,,,
March,,,,,,,3.39,2.91,8.03,1.72,2.59,2.95,5.52,3,5.64,1.72,5.64,3.99,2.89,4.05,3.2,5.91,5.58,2.02,3.92,5.22,5.33,2.6,3.8,4.85,6.11,2.74,0.9,2.28,4.91,5.88,7.37,8.34,2.12,3.1,0.11,4.83,3.34,7.11,4.23,3.77,4.63,6.08,5.37,3.38,2.69,2.64,7.26,6.99,6.1,2.09,2.98,3.09,2.34,6.06,7.19,7.65,3.85,1.93,2.61,1.92,3.7,,,,
April,,,,,,,2.27,6.93,3.01,4.44,2.6,3.27,3.15,0.63,2.59,1.99,3.01,2.42,2.02,1.89,1.89,1.61,4.54,2.3,1.13,3.7,4.01,2.8,3.34,1.87,1.95,1.64,2.16,1.11,2.1,2.66,2.53,3.43,5.01,5.05,3.97,3.66,2.27,1.97,6,4.63,2.21,3.49,2.67,4.07,2.79,5.09,1.12,6.06,1.95,3.51,3.19,2.56,1.46,2.72,5.85,1.47,2.63,4.89,2.37,5.81,2.68,,,,
May,,,,,,,2.54,3.52,2.9,2,4.52,1.79,3.48,2.11,1.57,3.64,1.22,2.94,4.71,2.36,2.28,4.9,2.28,2.07,2.92,2.15,4.86,2.24,2.49,2.63,2.89,2.52,6.61,1.56,3.61,0.7,0.55,2.42,2.6,4.67,2.98,1.76,3.53,2.79,4.57,2.05,8.6,5.49,4.29,1.88,3.13,3.1,3.25,2.38,3,1.38,4.26,3.03,2.18,2.07,7.83,4,3.64,4.18,8.03,5.57,2.71,,,,
June,,,,,,,4.22,2.35,1.04,2.47,1.73,1.88,5.21,2.7,1.82,4.71,4.3,3.62,4.45,7.84,4.39,5.63,6.25,4.9,0.46,2.49,1.9,0.28,1.8,1.81,4.65,2.32,4.2,1.54,3.27,2.82,4.54,5.16,3.82,1.48,3.51,2.06,1.36,1.87,2.22,3.19,2.99,9.29,3.23,2.78,1.93,5.17,6.82,3.49,2.58,2.03,2.34,3.51,2.04,2.63,2.17,0.53,3.29,1.09,4.85,0.25,3.2,,,,
July,,,,,,,4.96,4.31,0.85,2.17,1.62,7.07,4.6,4.9,4.63,2.69,3.81,6.13,1.36,6.84,6.65,8.79,7.42,5.14,4.9,2.82,7.21,2.89,6.31,4.02,4.31,5.27,2.39,4.34,3.87,8.46,4.84,2.17,1.33,4.55,2.8,1.24,4.62,5.86,1.61,2.51,3,3.87,4.84,6.65,5.58,0.87,6.57,0.78,3.45,6.81,4.43,2.24,7.77,2.79,8.55,2.51,6.49,6.25,5.12,2.22,4.73,,,,
August,,,,,,,5.9,5.56,5.27,2.58,3.84,4.07,6.74,5.55,6.43,4.15,4.74,6.56,5.53,5.67,2.33,6.7,3.61,4.45,1.15,2.99,2.56,2.43,4.42,6.45,6.2,14.51,11.49,5.1,5.13,7.54,3.04,6.62,9.13,2.17,5.36,4.09,2.97,9.89,4.83,5.18,6.39,4.76,5.59,4.17,8.47,4.78,6.01,4.03,4.29,5.2,5.57,12.18,4.81,4.44,3.61,7.96,5.4,8.16,4.32,4.62,4.83,,,,
September,,,,,,,12.26,4.88,2.59,11.3,3.08,3.43,8.62,3.18,6.94,6.19,5.28,4.95,6.05,4.1,4.68,2.05,2.57,4.69,4.92,6.75,6.89,5.19,2.04,2.47,5.87,8.35,10.29,4.72,0.88,1.85,6.72,5.72,2.59,6.28,3.52,2.42,1.96,6.95,2.28,4.4,1.58,0.78,8.43,3.54,0.69,4.01,2.39,3.77,4.27,1.12,2.75,5.81,12.51,5.16,3.32,2.8,4.97,7.05,7.05,4.92,6.63,,,,
October,,,,,,,3.61,5.3,7.74,4.36,10.14,5.58,8.47,8.12,11.19,3.12,3.39,7.52,5.79,2.69,2.3,3.42,3.84,6.79,3.52,5.08,6.25,1.7,4.47,6.39,3.84,5.18,6.56,6.01,5.21,5.24,5.08,3.26,4.92,4.83,9.43,4.67,3.8,11.75,2.84,3.77,7.69,4.89,2.58,8.03,2.58,5.25,5.57,3.15,1.38,0.8,11.58,7.52,7.27,3.24,1.25,3.36,2.43,9.62,5.78,6.58,3.89,,,,
