SHREWSBURY-KINGSLAND-BROOKSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ489118,Long,-2.7576469,Lat,52.701448,Elevation,174,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,0.64,1.66,1.56,0.94,1.38,2.67,0.51,3.63,3.12,1.03,2.94,1.13,1.87,2.21,2.35,3.27,2.61,3.33,1.23,2.48,,,,,,
February,,,,,,1.19,0.95,1.1,1.43,1.1,2.24,1.2,1.3,1.31,2.05,3.23,3.57,1.17,1.35,2.92,2.42,0.42,2.7,4.55,0.43,,,,,,
March,,,,,,3.26,1.19,0.79,3.43,2.33,0.54,1.35,2.95,3.83,2.29,0.75,3.88,2.29,0.98,4.53,2.57,1.25,3.08,1.54,1.56,,,,,,
April,,,,,,1.53,1,1.81,2.61,2.01,1.66,0.73,0.34,3.88,0.75,1.38,1.28,1.72,2.02,1.37,4.42,1.29,2.34,2.23,2.31,,,,,,
May,,,,,,1.13,2.17,3.01,1.66,0.86,1.86,0.87,2.67,2.32,0.79,2.61,2.66,3.63,2.66,0.98,3.1,1.03,1.34,2.89,3.11,,,,,,
June,,,,,,2.41,2.41,3.89,2.5,3.96,2.17,2.19,3.65,1.39,2.65,0.94,1.67,1.6,0.75,0.9,2.43,0.33,0.79,0.35,,,,,,,
July,,,,,,1.87,1.29,3.82,3.17,2.49,2.33,0.42,2.56,1.12,3.41,4.54,2.25,1.53,3.13,1.95,4.93,0.47,3.45,1.7,,,,,,,
August,,,,,,4.01,1.66,3.82,2.39,1.95,2.89,1.86,6.37,2.2,1.83,4.82,1.56,5,1.34,2.49,0.93,3.25,2.57,3.19,,,,,,,
September,,,,,,1.29,0.7,0.79,1.71,2.18,0.63,2.07,0.73,1.91,0.92,0.71,0.94,1.17,6.88,2.2,2.08,0.75,1.68,1.76,,,,,,,
October,,,,,,1.74,4.76,6.05,1.8,3.03,3.3,2.92,2.64,4.57,1.65,2.29,3.32,3.07,1.94,3.78,3.63,2.22,0.68,4.05,,,,,,,
November,,,,,,2.73,2.76,2.76,2.51,0.65,4.15,3,2.15,1.8,3.09,3.15,2.4,1.07,1.5,2.62,1.1,2.01,1.04,1.63,,,,,,,
December,,,,,,1.53,2.53,2.21,2.94,4.06,5.07,3.89,2.26,1.36,6.59,4.73,1.87,0.97,3.45,3,2.85,2.3,4.04,2.39,,,,,,,
Total,,,,,,23.33,23.08,31.61,27.09,26,29.51,21.01,31.25,28.81,27.05,32.09,26.53,25.09,28.21,29.09,33.73,17.93,27.04,27.51,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Brookside Kingsland Road Shrewsbury, where the observer, Edward Oliver lived. Altitude is from OS map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radbrook Hall overlaps Kingslanf Brookland by 81 months and there are two duplicate readings. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
