"SKIPTON CRINGLE'S RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1627,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,3.24,2.04,2.01,1.10,3.55,3.01,0.91,1.83,2.40,5.59,,
February,0.76,0.11,2.48,3.81,5.61,0.30,1.13,1.93,2.75,1.67,,
March,2.48,1.43,0.90,0.78,3.13,3.16,3.53,4.47,1.20,1.52,,
April,0.96,1.97,1.22,0.78,2.13,1.87,1.72,1.83,2.73,2.74,,
May,2.48,2.28,2.85,2.34,1.33,0.23,0.51,1.18,2.46,2.90,,
June,3.05,1.15,4.28,2.47,2.52,2.73,3.02,3.27,2.21,2.03,,
July,2.64,3.22,1.73,3.58,3.57,5.67,2.11,0.94,0.81,2.62,,
August,6.49,5.60,4.09,3.14,3.38,3.34,1.57,5.20,3.65,1.70,,
September,1.86,2.38,2.12,2.38,0.40,1.89,5.43,4.01,0.69,4.85,,
October,1.55,4.08,6.50,3.40,4.08,3.51,3.74,1.63,4.67,2.47,,
November,4.10,3.71,1.84,2.22,1.67,4.67,0.97,3.18,2.75,1.62,,
December,1.04,6.34,0.69,3.25,2.95,3.30,4.38,3.83,3.66,3.39,,
Total,30.65,34.31,30.71,29.25,34.32,33.68,29.02,33.30,29.98,33.10,,
Calc annual,30.65,34.31,30.71,29.25,34.32,33.68,29.02,33.30,29.98,33.10,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
