EMBSAY MOOR RESERVOIR,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3308/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,3.74,2.49,2.85,1.39,3.89,3.52,4.73,5.31,,,
February,,0.37,4.24,0.23,5.20,2.34,4.98,1.56,2.79,,,
March,,2.39,2.12,2.53,1.20,1.93,2.05,1.05,2.20,,,
April,,3.17,1.50,2.65,3.10,1.24,3.09,0.54,1.60,,,
May,,4.50,2.15,2.50,0.75,1.59,2.79,3.39,0.94,,,
June,,0.92,2.63,2.35,3.87,3.87,1.60,3.75,3.11,,,
July,,4.73,2.81,2.11,0.66,4.43,2.66,3.77,5.11,,,
August,,1.40,1.15,2.70,1.37,2.68,1.73,3.71,1.44,,,
September,,4.33,1.67,2.39,7.17,3.41,1.59,1.59,0.97,,,
October,,5.73,3.18,3.93,6.61,2.91,1.92,7.78,2.74,,,
November,,2.53,2.05,1.77,4.74,4.11,1.49,4.17,4.98,,,
December,,1.40,0.45,5.94,2.55,3.43,2.23,5.08,2.54,,,
Total,,35.21,26.44,31.95,38.61,35.83,29.65,41.12,33.73,,,
Calc annual,0.00,35.21,26.44,31.95,38.61,35.83,29.65,41.12,33.73,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,,
