SLAIDBURN (LANGDEN BROOK),,,,,,,,,,,,
Grid ref,SD628511,Long,-2.568367,Lat,53.954646,,,,,,,
Station no,3078,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.50,3.90,6.25,9.80,6.50,5.20,10.25,3.55,7.50,4.20,,
February,5.00,2.90,2.40,7.90,6.20,4.75,6.40,4.15,6.05,6.60,,
March,1.50,6.45,4.70,8.90,4.35,6.10,7.90,7.45,4.55,5.50,,
April,5.65,3.55,2.75,3.90,6.60,6.80,2.65,3.50,2.95,5.90,,
May,2.20,1.30,3.75,5.05,3.60,1.45,7.80,5.00,4.45,3.40,,
June,4.20,2.95,1.65,2.80,2.16,3.60,3.40,11.60,4.35,2.65,,
July,3.00,1.20,6.10,5.30,3.45,4.30,3.65,5.05,7.60,9.85,,
August,7.60,6.40,4.70,9.75,6.20,6.30,6.45,7.80,6.60,5.65,,
September,4.40,3.10,2.40,8.55,2.80,5.90,2.35,1.50,9.00,4.70,,
October,10.40,6.20,6.85,14.10,5.20,5.80,11.00,5.65,3.85,9.65,,
November,6.90,8.20,4.50,4.90,5.95,7.50,6.30,6.05,7.20,4.70,,
December,10.30,7.80,7.15,6.25,6.90,2.25,6.80,8.75,6.65,10.60,,
Total,71.65,53.95,53.20,87.20,59.91,59.95,74.95,70.05,70.75,73.40,,
Calc annual,71.65,53.95,53.20,87.20,59.91,59.95,74.95,70.05,70.75,73.40,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
