"WOOLSTON LODGE, SOUTHAMPTON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4886,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,1.32,2.27,,,,,,,,,,
February,3.60,3.44,,,,,,,,,,
March,0.49,2.70,,,,,,,,,,
April,2.51,0.75,,,,,,,,,,
May,0.08,1.07,,,,,,,,,,
June,2.67,1.91,,,,,,,,,,
July,4.10,1.53,,,,,,,,,,
August,1.12,4.28,,,,,,,,,,
September,5.64,2.32,,,,,,,,,,
October,5.49,1.53,,,,,,,,,,
November,2.67,4.10,,,,,,,,,,
December,4.20,3.34,,,,,,,,,,
Total,33.89,29.24,,,,,,,,,,
Calc annual,33.89,29.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
