SPEAN BRIDGE (GAIRLOCHY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN176843,Long,-4.997755,Lat,56.914004,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5738/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,14.86,5.49,0.85,0.69,7.23,6.95,12.51,4.83,10.55,6.19,8.31,12.61,8.92,9.1,10.34,7.42,8.53,,5.77,13.29,6.83,2.91,3.84
February,,,,,,,,10,14,1.76,5.84,3.7,11.01,5.3,12.33,7.92,0.18,7.76,12.72,9.48,,5.57,7.05,4.02,,4.63,4.03,3.2,5.71,6.45
March,,,,,,,1.4,16.11,6.93,5.77,1.63,1.97,7.25,3.75,9.05,3.74,1.78,9.02,3.7,5.52,,4.1,2.88,4.91,,4.31,7.15,2.24,5.82,1.08
April,,,,,,,1.8,2.13,3.32,3.81,3.47,2.01,9.61,3.98,2.44,4.23,11.49,6.02,11.19,7.3,,1.31,4.98,3.52,4.35,3.91,1.9,5.97,6.25,8.54
May,,,,,,,2.63,3.86,1.56,1.77,1.34,2.19,4.17,8.34,5.92,1.38,2.78,1.54,3.49,2.26,,1.93,4.86,4.44,3.73,6.42,2.47,6.57,1.93,2.69
June,,,,,,,5.12,9.27,2.6,2.31,1.53,4.71,7.13,6.73,8.01,6.08,5.56,6.52,2.03,5.85,3.35,4.52,1.88,4.14,4.34,2.77,4.57,1.75,5.37,4.91
July,,,,,,,5.81,5.73,8.85,6.2,6.29,5.22,5.46,1.95,3.48,8.95,4.12,6.86,2.56,6.58,5.42,3.92,6.87,4,1.52,6.45,6.98,3.73,6.85,3.53
August,,,,,,,4.73,4.52,2.58,5.39,8.84,8.35,7.79,5.17,3.75,4.87,0,9.14,8.62,6.76,6.99,1.77,7.18,6.32,1.74,4.71,6.55,5.15,5.44,5.17
September,,,,,,,8.7,5.67,2.78,5.92,2.9,11,6.66,5.16,7.16,8.19,9.78,12.96,4.65,11.88,6.13,6.89,7.46,9.03,9.46,7.66,4.44,4.48,2.56,4.41
October,,,,,,,2.84,14.95,2.23,6.72,8.95,12.14,15.49,7.15,5.27,0.71,4.81,10.53,10.8,9.97,3.21,8.76,5.11,12.92,6.33,9.2,10.14,9.91,9.71,1.75
November,,,,,,,1.11,17.76,12.04,9.32,6.44,3.23,7.4,7.86,0.88,6.55,14.51,7.58,8.06,5.75,8.41,5.56,12.72,9.44,3.09,7.06,3.25,1.74,8.68,5.97
December,,,,,,,2.35,8.83,2.72,12.04,8.1,13.77,5.02,9.86,5.27,6.74,3.19,8.58,16.72,3.33,13.59,9.15,8.29,15.88,12.91,14.46,11.08,6.03,9.58,10.64
Total,,,,,,,,113.69,65.1,61.86,56.02,75.52,93.94,77.76,68.39,69.91,64.39,94.82,97.15,83.6,,63.82,76.7,87.15,,77.35,75.85,57.6,70.81,58.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 JF Est deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 np erratic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5738/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,693637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
