"ST MARY'S, SCILLY ISLANDS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1951,,,,,,,,,,,
,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,
January,,,3.44,3.25,,,,,,,,
February,,,1.57,-999.00,,,,,,,,
March,,,1.75,1.17,,,,,,,,
April,,,1.11,3.04,,,,,,,,
May,,,1.29,4.06,,,,,,,,
June,,,1.64,3.38,,,,,,,,
July,,,1.95,1.35,,,,,,,,
August,,,1.71,-999.00,,,,,,,,
September,,7.03,3.16,,,,,,,,,
October,,3.06,1.32,,,,,,,,,
November,,4.75,7.14,,,,,,,,,
December,,2.71,2.25,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,17.55,28.33,16.25,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
