"ST PETROC MINOR, PADSTOW",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1899,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,5.22,1.39,,,,,,,,,,
February,1.47,4.93,,,,,,,,,,
March,3.59,3.79,,,,,,,,,,
April,1.08,1.16,,,,,,,,,,
May,3.24,1.83,,,,,,,,,,
June,5.89,3.12,,,,,,,,,,
July,3.04,6.46,,,,,,,,,,
August,5.51,2.16,,,,,,,,,,
September,3.18,4.56,,,,,,,,,,
October,3.80,3.64,,,,,,,,,,
November,4.52,7.91,,,,,,,,,,
December,6.86,3.74,,,,,,,,,,
Total,47.40,44.69,,,,,,,,,,
Calc annual,47.40,44.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
