"STIRLING TOUCH RESERVOIR GAUGE NO. 1.",,,,,,,,,,,,
Grid ref,NS736916,Long,-4.033642,Lat,56.100402,,,,,,,
Station no,5357,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.33,2.40,3.86,9.30,,,,,,,,
February,2.31,1.03,1.93,7.51,,,,,,,,
March,0.60,1.98,2.43,8.63,,,,,,,,
April,3.23,3.71,1.70,1.02,,,,,,,,
May,3.15,2.30,2.24,2.66,,,,,,,,
June,5.00,4.04,2.23,3.45,,,,,,,,
July,3.10,2.64,3.49,5.70,,,,,,,,
August,4.69,3.63,3.27,6.05,,,,,,,,
September,3.80,3.17,3.40,3.84,,,,,,,,
October,6.08,4.44,2.82,10.54,,,,,,,,
November,6.42,2.92,4.21,2.06,,,,,,,,
December,9.12,4.28,6.14,3.79,,,,,,,,
Total,52.83,36.54,37.72,64.55,,,,,,,,
Calc annual,52.83,36.54,37.72,64.55,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
