"STOCKTON-ON-TEES, BILLINGHAM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ461224,Long,-1.288038,Lat,54.59469,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.8,2.11,2.62,1.61,2.65,1.52,1.03,1.82,0.65,1.74,2.99,1.31,1.67,3.5,1.73,2.4,2.21,2.57,1.09,4.76,1.1,1.34,5.46,0.74,1.32,1.6,1.62,0.87,2.49,1.93,2.83,1.49,1.82,2.42,3.79
February,,,,,,,1.78,0.56,1.25,0.33,1.47,1.52,0.79,2.69,0.76,2.93,2.53,2.22,1.31,0.63,1.98,4.8,2.17,0.42,1.62,1.47,0.59,2.3,0.91,0.37,2.39,1.87,0.53,1.81,1.19,1.66,1.72,1.73,2.89,0.52,1.92
March,,,,,,,0.9,1.94,1.6,0.08,2.72,1.02,2.25,1.54,1.47,0.64,1.33,2.39,0.05,2.06,1.81,1.98,0.46,0.54,0.55,0.27,1,2.33,0.93,0.88,0.6,3.39,1.35,0.17,1.43,1.06,0.56,0.91,2.35,0.38,1.28
April,,,,,,,1.11,1.75,0.79,1.12,2.25,2.57,0.86,0.77,2.33,2.71,1.03,2.12,0.2,1.25,1.72,0.54,0.5,0.69,1.95,1.23,2.05,2.58,1.02,1.76,1.8,1.41,1.63,1.63,0.17,0.83,0.79,0.32,1.47,1.32,0.4
May,,,,,,,2.15,1.68,1.19,1.19,1.1,2.18,4.24,2.21,0.8,0.64,1.85,2.4,3.11,1.88,1.12,1.2,1.22,1.82,0.9,2.45,1.65,2.1,1.22,0.82,1.32,4.79,1.14,2.27,2.07,1.31,0.3,1.2,2.92,0.35,0.88
June,,,,,,,2.46,2.41,4.58,1.51,0.81,3.65,1.26,1.22,1.75,2.35,3.51,1.47,1.99,2.1,0.87,0.64,0.82,0.81,2.21,1.91,1.95,2.54,4.01,0.51,1.18,1.32,1.39,2.15,1.92,2.55,3.39,2.76,2.42,1.35,0.27
July,,,,,,,3.25,4.6,1.52,2,4.77,3.51,3.06,1.51,1.58,0.22,3.36,1.17,2.87,2.53,6.23,0.77,3.63,1.21,3.06,1.59,3.58,2.35,0.91,1.41,2.93,1.92,1.17,2.68,1.52,1.14,2.62,3.73,2.9,1.93,4.36
August,,,,,,,1.8,4.51,3.34,2.73,3.6,2.67,2.88,0.31,2.31,1.66,2.12,1.14,3.03,2.17,1.16,2.85,2.45,3.85,2.19,2.84,3.11,0.41,4.27,1.73,4.67,5.3,1.59,3.25,5.05,0.76,6.71,1.87,3.25,0.12,2.89
September,,,,,,,2.23,3.75,0.56,1.16,2.15,3.91,2.17,1.19,1.86,3.82,2.77,1.41,1.52,1,1.13,0.62,2.55,3.21,3.64,1.08,3.16,2.38,1.39,0.64,2.41,1.1,5.01,1.12,1.56,1.08,1.72,2.97,1.74,1.07,2.13
October,,,,,,,2.89,1.72,2.63,2.12,1.68,1.09,2.79,3.9,2.22,3.95,1.1,1.21,3.15,4.6,1.98,3.48,2.22,1.33,2.61,3.25,1.39,0.22,1.22,2.17,1.29,1.36,2.63,1.35,3.83,1.45,1.17,1.59,1.09,1,5.94
November,,,,,,,3.57,3.65,1.57,2.41,2.67,1.76,1.56,2.51,1.67,3.32,2.37,2.1,2.05,1.93,2.84,2.43,1.19,2.71,3.66,0.5,4.47,1.61,1.28,2.71,5.99,3.73,3.37,1.27,3.31,1.89,0.86,1.29,0.71,2.92,2.68
December,,,,,,,1.21,1.68,1.05,2.34,1.63,0.87,0.75,1.29,2.99,2.14,1.4,3.79,2.79,1.03,2.18,0.26,1.79,1.09,0.86,0.94,2.36,1.4,1.32,2.21,2.92,3.56,1.92,0.8,1.45,2.26,1.55,0.97,2.47,2.24,2.62
Total,,,,,,,25.15,30.36,22.7,18.6,27.5,26.27,23.64,20.96,20.39,26.12,26.36,22.73,23.74,24.68,24.75,21.97,21.21,20.25,24.34,22.29,26.41,21.56,23.94,15.95,28.82,31.35,23.35,19.37,25.99,17.92,24.22,20.83,26.03,15.62,29.16
