STOW-ON-THE-WOLD-DUNCOMBE-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP177278,Long,-1.7438843,Lat,51.948417,Elevation,650,ft,,,,,,,,,,,,,
Station no,RR7022,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1.19,3.89,4.37,0.74,3.5,1.57,1.89,,4.2,3.33,2.23,3.07,2.06,,,,,,,
February,,1.66,2.46,1.3,2.14,4.14,4.8,1.3,,3.05,1.05,0.39,2.85,5.73,,,,,,,
March,,2.36,4.76,3.81,3.19,0.93,4.3,2.24,,4.73,3.66,1.43,2.17,2.26,,,,,,,
April,,1,0.1,3.73,1.05,1.11,1.29,2.05,,2.71,5.45,1.24,3.29,2.62,,,,,,,
May,,1.62,2.37,2.6,1.42,2.81,2.3,3.29,,0.91,1.93,1.44,0.7,1.91,,,,,,,
June,,1.95,5.56,0.54,2.83,1.67,2.24,2.31,,0.95,2.53,0.4,0.65,0.28,,,,,,,
July,,0.08,4.55,2.46,3.49,3.18,2.06,2.55,,2.21,3.66,0.47,4.03,2.86,,,,,,,
August,,2.09,6.65,0.66,1.4,2.05,3.85,5.07,,2.25,1.47,2.08,4.33,1.96,,,,,,,
September,,1.85,1.06,3.16,1.18,0.97,1.78,2.54,,1.86,1.83,1.5,2.4,2.9,,,,,,,
October,,2.74,2.97,3.76,2.02,3.11,4.31,3.57,,1.87,3.93,1.47,0.8,5.2,,,,,,,
November,,3.31,1.84,2.64,3.61,1.89,3.43,1,,1.66,0.85,2.18,,1.79,,,,,,,
December,,6.67,3.82,1.13,6.08,5.47,3.6,1.83,,3.96,2.68,1.6,4.09,3.44,,,,,,,
Total,,26.52,40.03,30.16,29.15,30.83,35.53,29.64,,30.36,32.37,16.43,,33.01,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1922 Nov estimated,,,,,,,,,,,,,,,,,,,,,
