STRATHYRE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5524/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,2.35,14.65,12.87,10.82,10.99,7.12,,
February,,,,,14.34,5.67,1.25,9.03,10.74,8.51,,
March,,,,,6.87,7.30,6.88,9.05,2.39,6.20,,
April,,,,,5.50,1.18,17.26,3.70,7.00,5.74,,
May,,,,,6.32,1.82,5.77,3.78,4.16,3.19,,
June,,,,,7.04,6.23,5.51,5.31,3.29,2.46,,
July,,,,,4.36,5.66,5.87,6.01,2.17,8.68,,
August,,,,,2.31,4.03,0.02,9.30,6.28,12.31,,
September,,,,,9.58,11.96,8.20,10.12,4.13,13.25,,
October,,,,,8.66,0.95,3.13,8.70,10.88,11.21,,
November,,,,12.07,0.84,14.28,11.73,6.72,8.37,7.78,,
December,,,,10.38,10.22,6.22,3.19,14.19,14.04,5.02,,
Total,,,,,78.39,79.95,81.68,96.73,84.44,91.47,,
Calc annual,0.00,0.00,0.00,22.45,78.39,79.95,81.68,96.73,84.44,91.47,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
