"STUBTON (NEWARK)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.26,1.25,,,,,,,,,,
February,1.95,1.18,,,,,,,,,,
March,0.52,1.52,,,,,,,,,,
April,1.36,0.68,,,,,,,,,,
May,2.54,3.19,,,,,,,,,,
June,1.79,2.47,,,,,,,,,,
July,2.04,0.29,,,,,,,,,,
August,3.30,1.61,,,,,,,,,,
September,0.83,1.77,,,,,,,,,,
October,1.91,2.25,,,,,,,,,,
November,3.27,2.19,,,,,,,,,,
December,4.25,3.89,,,,,,,,,,
Total,25.02,22.29,,,,,,,,,,
Calc annual,25.02,22.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
