"STYE HEAD TARN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3624,,,,,,,,,,,
,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,
January,7.94,14.40,17.18,,,,,,,,,
February,13.32,,12.40,,,,,,,,,
March,-999.00,16.26,0.45,23.41,,,,,,,,
April,,4.36,1.19,6.32,,,,,,,,
May,6.05,3.92,9.57,0.34,,,,,,,,
June,6.15,7.80,12.00,4.59,,,,,,,,
July,10.98,9.71,8.25,20.30,,,,,,,,
August,13.59,12.60,12.55,,,,,,,,,
September,5.76,5.56,4.60,,,,,,,,,
October,17.10,16.11,8.00,,,,,,,,,
November,-999.00,,,,,,,,,,,
December,,9.44,38.00,,,,,,,,,
Total,123.47,100.16,124.19,92.65,,,,,,,,
Calc annual,80.89,100.16,124.19,54.96,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,42.58,0.00,0.00,37.69,NaN,NaN,NaN,NaN,NaN,NaN,,
