SURBITON VROWVELIN LOVELACE ROAD,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8067,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.66,1.21,3.11,2.75,0.57,,,,,,,
February,2.97,1.23,1.67,0.89,2.87,,,,,,,
March,1.03,1.62,2.86,2.51,4.23,,,,,,,
April,1.13,1.97,0.06,2.71,0.92,,,,,,,
May,1.67,2.29,1.45,1.71,1.29,,,,,,,
June,2.81,2.15,3.69,0.33,2.67,,,,,,,
July,2.96,0.69,1.62,2.02,2.02,,,,,,,
August,2.65,0.93,5.39,1.90,1.72,,,,,,,
September,1.14,1.12,2.39,2.02,0.82,,,,,,,
October,2.87,2.62,2.44,3.87,1.26,,,,,,,
November,2.82,3.43,1.86,2.16,2.76,,,,,,,
December,3.60,5.73,2.72,1.07,6.65,,,,,,,
Total,27.31,24.99,29.26,23.94,27.78,,,,,,,
Calc annual,27.31,24.99,29.26,23.94,27.78,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
