"SWAINSHILL",,,,,,,,,,,,
Grid ref,SU721441,Long,-0.969634,Lat,51.191584,,,,,,,
Station no,747,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.31,2.82,1.02,1.65,2.85,4.70,3.32,3.97,3.91,3.98,,
February,6.29,0.80,1.57,3.06,1.47,0.25,4.21,2.59,0.27,3.47,,
March,4.93,2.31,0.73,2.95,1.21,1.07,1.95,1.50,3.42,1.84,,
April,2.90,1.92,2.58,0.33,0.43,1.15,0.21,0.98,2.98,0.74,,
May,2.91,2.81,2.33,2.93,4.80,0.33,1.24,2.50,0.98,1.56,,
June,1.03,1.85,1.80,2.89,3.15,2.29,1.08,4.34,1.76,1.63,,
July,2.54,0.74,3.80,3.12,0.91,4.19,3.99,2.42,2.65,3.87,,
August,4.91,3.82,1.81,3.84,1.10,4.45,2.91,3.92,2.44,4.32,,
September,3.37,3.25,2.53,2.64,1.91,3.93,3.37,4.61,0.10,4.26,,
October,0.93,4.57,4.25,3.11,5.02,2.91,2.52,3.48,3.30,9.43,,
November,9.73,4.01,1.43,6.26,3.51,0.79,3.22,2.59,3.65,5.33,,
December,3.30,2.79,0.79,3.23,3.78,4.84,2.94,3.38,6.73,4.49,,
Total,47.15,31.69,24.64,36.01,30.14,30.90,30.96,36.28,32.19,44.92,,
Calc annual,47.15,31.69,24.64,36.01,30.14,30.90,30.96,36.28,32.19,44.92,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
