"TAF FECHAN (NEUADD RESERVOIR) NO2",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4164,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,6.00,6.75,12.20,11.00,6.40,13.20,7.25,17.30,5.00,4.40,,
February,12.30,1.40,5.45,3.10,12.70,8.70,1.93,5.00,3.80,13.80,,
March,5.70,6.15,1.85,1.20,4.10,3.15,15.60,4.50,3.50,5.10,,
April,2.25,3.05,3.00,4.25,4.45,3.00,6.40,4.70,5.30,5.90,,
May,4.60,8.55,5.80,3.80,6.75,4.40,3.25,4.20,5.30,4.00,,
June,2.25,0.70,7.00,5.10,8.25,9.45,3.90,8.00,1.40,5.20,,
July,5.00,7.00,5.90,6.95,5.25,5.10,5.00,3.50,3.20,9.10,,
August,8.70,9.50,6.45,5.50,4.90,11.00,0.70,8.60,4.40,12.70,,
September,1.55,6.10,7.95,8.25,7.95,12.85,5.20,9.20,2.80,10.70,,
October,10.50,7.90,6.30,10.05,9.25,1.60,1.85,5.80,12.00,5.00,,
November,6.00,1.50,6.70,12.30,1.00,15.75,11.40,4.90,9.00,9.30,,
December,7.65,11.00,3.80,9.75,10.20,7.95,8.00,13.20,10.80,4.70,,
Total,72.50,69.60,72.40,81.25,81.20,96.15,70.48,88.90,66.50,89.90,,
Calc annual,72.50,69.60,72.40,81.25,81.20,96.15,70.48,88.90,66.50,89.90,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
