"TAIN (ARDLARACH)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5777,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,3.43,5.22,1.98,2.29,2.33,3.92,2.41,4.30,3.23,0.96,,
February,2.93,0.58,3.19,2.06,2.73,2.04,3.69,2.16,2.11,1.20,,
March,1.99,2.84,1.10,2.11,2.41,1.14,2.23,1.12,2.75,1.85,,
April,2.76,3.99,2.12,3.57,3.15,1.62,0.55,0.80,2.28,3.71,,
May,3.85,3.65,1.52,1.72,2.53,1.53,1.77,2.59,0.48,1.93,,
June,3.64,0.66,2.99,1.89,4.21,1.21,2.14,2.98,1.27,1.04,,
July,4.11,4.15,3.30,5.71,2.18,5.08,2.60,6.59,7.87,9.17,,
August,1.76,1.42,2.59,3.15,3.63,1.73,3.18,1.24,1.74,1.19,,
September,1.51,3.31,0.56,1.68,3.93,3.09,1.37,3.57,1.69,1.74,,
October,1.94,4.84,3.15,4.92,5.70,3.08,2.24,5.00,1.73,3.77,,
November,2.37,3.79,1.83,1.10,3.04,1.74,0.64,3.65,3.50,5.27,,
December,2.43,2.68,0.41,2.70,2.72,3.88,1.01,1.56,2.62,3.48,,
Total,32.72,37.13,24.74,32.90,38.56,30.06,23.83,35.56,31.27,35.31,,
Calc annual,32.72,37.13,24.74,32.90,38.56,30.06,23.83,35.56,31.27,35.31,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
