THAMES DITTON WESTON GREEN,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7754,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,1.80,0.41,1.44,3.27,1.50,0.64,1.97,0.80,2.36,,
February,,0.00,1.14,2.70,1.51,0.17,0.28,2.03,1.14,2.41,,
March,,1.96,1.03,0.28,1.08,1.27,3.10,3.49,1.21,0.50,,
April,,0.98,0.94,0.02,2.13,1.32,0.70,1.62,0.95,2.36,,
May,,2.82,1.04,1.41,1.49,0.66,0.30,1.55,2.84,1.58,,
June,,1.67,2.75,1.11,2.00,0.27,1.78,3.57,1.41,1.50,,
July,,2.94,2.12,1.84,3.55,4.10,1.47,1.22,0.69,0.42,,
August,,3.56,2.66,1.01,2.88,3.89,2.70,2.53,1.16,0.52,,
September,,1.03,2.50,1.14,1.24,0.89,6.06,1.84,0.45,2.42,,
October,,5.46,3.37,3.68,4.89,2.74,2.40,0.53,3.15,2.23,,
November,,2.54,2.71,1.96,3.08,3.12,1.24,1.03,2.60,4.07,,
December,,2.83,1.21,2.13,1.85,2.22,3.13,2.31,2.38,1.35,,
Total,,27.59,21.88,18.72,28.97,22.15,23.80,23.69,18.78,21.72,,
Calc annual,0.00,27.59,21.88,18.72,28.97,22.15,23.80,23.69,18.78,21.72,,
Difference,NaN,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
