"ULLSWATER SWARTH FELL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1756,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,10.50,,,,,,,,,,,
February,1.00,,,,,,,,,,,
March,3.00,,,,,,,,,,,
April,1.25,,,,,,,,,,,
May,3.00,,,,,,,,,,,
June,3.50,,,,,,,,,,,
July,3.50,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,25.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
