Rainfall at,S. UIST USHENISH,
Grid ref,NF872350,Long,-7.195173,Lat,57.298038
Station no,5764/5,
,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,13.15,6.47,6.80,8.78,7.38,12.04,11.15,11.35,9.70,11.30,
February,3.95,3.58,2.70,11.74,9.31,11.90,8.80,10.90,11.05,5.50,
March,0.00,4.42,11.12,11.14,4.01,12.37,4.90,10.55,7.15,3.00,
April,10.07,5.12,6.80,6.45,13.01,4.57,7.00,3.15,3.50,7.35,
May,8.20,1.97,5.81,3.79,7.12,4.07,7.55,4.90,7.85,8.00,
June,3.55,5.95,2.67,2.90,8.93,1.29,1.75,17.00,4.50,,
July,6.05,1.58,3.44,7.99,3.41,3.43,7.25,4.65,4.45,3.04,
August,4.86,4.30,3.14,9.39,8.09,4.82,8.50,11.95,8.50,3.80,
September,8.43,6.00,8.62,2.21,5.16,8.61,2.70,4.95,12.85,2.97,
October,8.34,7.75,6.65,16.92,10.48,8.00,5.35,4.90,15.10,4.11,
November,8.92,10.02,7.37,10.93,11.43,7.40,7.90,8.35,10.55,3.59,
December,12.08,9.97,11.30,6.81,10.07,8.60,13.95,11.25,15.00,4.47,
Total,87.60,67.13,76.42,99.05,98.40,87.10,86.80,103.90,110.20,,
Calc annual,87.60,67.13,76.42,99.05,98.40,87.10,86.80,103.90,110.20,57.13,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,NaN,
